"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017012712420281";"Quercus robur L.";87,5;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Lysimachia vulgaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Juncus effusus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Rubus";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Molinia caerulea (L.) Moench";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Teucrium scorodonia L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Phragmites australis (Cav.) Steud.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Carex pilulifera L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Danthonia decumbens (L.) DC.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Agrostis capillaris L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Quercus robur L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Sorbus aucuparia L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Prunella vulgaris L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Dryopteris dilatata (Hoffmann) A. Gray";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Calluna vulgaris (L.) Hull";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Betula pubescens Ehrh.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Dicranum scoparium Hedw.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Campylopus introflexus (Hedw.) Brid.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
