"Habitattype";"Habitatsubtype";"Versie";"Indicator";"TaxongroepId";"Omschrijving";"NbnTaxonVersionKey";"WetNaam";"NedNaam";"WetNaamKort";"TaxonType"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000004929";"Lemna minuta Humb., Bonpl. et Kunth";"Dwergkroos";"Lemna minuta";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000004981";"Juncus canadensis J. Gay ex Laharpe";"Canadese rus";"Juncus canadensis";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000005372";"Elodea nuttallii (Planch.) St John";"Smalle waterpest";"Elodea nuttallii";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000005528";"Crassula helmsii (T. Kirk) Cock.";"Watercrassula";"Crassula helmsii";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"NBNSYS0000002090";"Azolla filiculoides Lam.";"Grote kroosvaren";"Azolla filiculoides";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"NBNSYS0000002117";"Lagarosiphon major (Ridley) Moss";"Verspreidbladige waterpest";"Lagarosiphon major";"Species"
"3130";"3130_aom";"Versie 2.0";"invasieve exoten";186;NA;"NHMSYS0000459812";"Hydrocotyle ranunculoides L. f.";"Grote waternavel";"Hydrocotyle ranunculoides";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004739";"Myriophyllum aquaticum (Velloso) Verdc.";"Parelvederkruid";"Myriophyllum aquaticum";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004871";"Ludwigia peploides (Kunth) P.H. Raven";"Postelein-waterlepeltje";"Ludwigia peploides";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004874";"Ludwigia grandiflora (Michaux) Greuter et Burdet";"Waterteunisbloem";"Ludwigia grandiflora";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004928";"Lemna turionifera Landolt";"Knopkroos";"Lemna turionifera";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004929";"Lemna minuta Humb., Bonpl. et Kunth";"Dwergkroos";"Lemna minuta";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000004981";"Juncus canadensis J. Gay ex Laharpe";"Canadese rus";"Juncus canadensis";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000005372";"Elodea nuttallii (Planch.) St John";"Smalle waterpest";"Elodea nuttallii";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000005391";"Eichhornia crassipes (C.F.P.Mart.) Solms-Laub.";"waterhyacint";"Eichhornia crassipes";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"INBSYS0000005528";"Crassula helmsii (T. Kirk) Cock.";"Watercrassula";"Crassula helmsii";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NBNSYS0000002090";"Azolla filiculoides Lam.";"Grote kroosvaren";"Azolla filiculoides";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NBNSYS0000002117";"Lagarosiphon major (Ridley) Moss";"Verspreidbladige waterpest";"Lagarosiphon major";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NHMSYS0000459812";"Hydrocotyle ranunculoides L. f.";"Grote waternavel";"Hydrocotyle ranunculoides";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NBNSYS0000002111";"Egeria densa Planchon";NA;"Egeria densa";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NBNSYS0000003611";"Myriophyllum heterophyllum Michaux";"Ongelijkbladig vederkruid";"Myriophyllum heterophyllum";"Species"
"3130";"3130_aom";"Versie 3";"invasieve exoten";187;NA;"NBNSYS0000134805";"Lysichiton";NA;"Lysichiton";"Genus"
"3130";"3130_na";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000004739";"Myriophyllum aquaticum (Velloso) Verdc.";"Parelvederkruid";"Myriophyllum aquaticum";"Species"
"3130";"3130_na";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000004874";"Ludwigia grandiflora (Michaux) Greuter et Burdet";"Waterteunisbloem";"Ludwigia grandiflora";"Species"
"3130";"3130_na";"Versie 2.0";"invasieve exoten";186;NA;"INBSYS0000004928";"Lemna turionifera Landolt";"Knopkroos";"Lemna turionifera";"Species"
