"Meetnet";"MeetpuntID";"ID_VBI";"Plot";"OpnameID";"Habitattype";"Habitatsubtype";"SBZH";"Date";"X";"Y";"GRTS_ranking";"PlotWeight_cirkelplot";"StratumWeight";"PlotWeight_vegetatieplot";"Periode";"Phab"
"MHK";"125394";;"Vegetatieplot";"125394";"2310";"2310";"Binnen";"2015-06-01";226973,628;193230,042;125394;1;41,5557692307692;;;
"MHK";"127710";;"Vegetatieplot";"127710";"2310";"2310";"Binnen";"2016-11-16";153981,527;232814,138;127710;1;41,5557692307692;;;
"MHK";"134098";;"Vegetatieplot";"134098";"2310";"2310";"Binnen";"2014-09-09";228733,609;194830,124;134098;1;41,5557692307692;;;
"MHK";"144094";;"Vegetatieplot";"144094";"2310";"2310";"Binnen";"2014-09-03";153181,836;231726,666;144094;1;41,5557692307692;;;
"MHK";"151250";;"Vegetatieplot";"151250";"2310";"2310";"Binnen";"2014-09-08";224445,542;193870,164;151250;1;41,5557692307692;;;
"MHK";"152786";;"Vegetatieplot";"152786";"2310";"2310";"Binnen";"2014-09-19";220221,596;196526,11;152786;0,704694860742418;41,5557692307692;;;
"MHK";"20178";;"Vegetatieplot";"20178";"2310";"2310";"Binnen";"2014-09-08";223997,62;193678,129;20178;1;41,5557692307692;;;
"MHK";"23762";;"Vegetatieplot";"23762";"2310";"2310";"Binnen";"2014-09-11";226109,625;194286,116;23762;1;41,5557692307692;;;
"MHK";"27090";;"Vegetatieplot";"27090";"2310";"2310";"Binnen";"2015-06-01";227805,547;192878,056;27090;1;41,5557692307692;;;
"MHK";"28370";;"Vegetatieplot";"28370";"2310";"2310";"Binnen";"2014-08-28";224925,617;189998,194;28370;0,871001951894246;41,5557692307692;;;
"MHK";"29406";;"Vegetatieplot";"29406";"2310";"2310";"Binnen";"2014-08-21";154397,518;232526,165;29406;1;41,5557692307692;;;
"MHK";"29622";;"Vegetatieplot";"29622";"2310";"2310";"Binnen";"2014-09-08";217117,528;199886,051;29622;0,698568377871301;41,5557692307692;;;
"MHK";"304338";;"Vegetatieplot";"304338";"2310";"2310";"Binnen";"2014-09-22";220733,556;196910,031;304338;1;41,5557692307692;;;
"MHK";"306130";;"Vegetatieplot";"306130";"2310";"2310";"Binnen";"2014-09-10";229981,574;195534,141;306130;1;41,5557692307692;;;
"MHK";"32466";;"Vegetatieplot";"32466";"2310";"2310";"Binnen";"2014-09-11";224797,609;193358,157;32466;1;41,5557692307692;;;
"MHK";"331702";;"Vegetatieplot";"331702";"2310";"2310";"Binnen";"2014-09-16";218365,509;197454,074;331702;0,76238754517531;41,5557692307692;;;
"MHK";"34514";;"Vegetatieplot";"34514";"2310";"2310";"Binnen";"2014-08-28";225277,54;189806,117;34514;1;41,5557692307692;;;
"MHK";"35794";;"Vegetatieplot";"35794";"2310";"2310";"Binnen";"2014-09-11";228317,545;195246,134;35794;0,787287434265829;41,5557692307692;;;
"MHK";"38098";;"Vegetatieplot";"38098";"2310";"2310";"Binnen";"2014-09-17";218973,532;196686,113;38098;0,840973736859655;41,5557692307692;;;
"MHK";"398546";;"Vegetatieplot";"398546";"2310";"2310";"Binnen";"2014-09-15";219261,492;197966,072;398546;1;41,5557692307692;;;
"MHK";"433362";;"Vegetatieplot";"433362";"2310";"2310";"Binnen";"2014-09-08";224797,606;194510,089;433362;1;41,5557692307692;;;
"MHK";"45790";;"Vegetatieplot";"45790";"2310";"2310";"Binnen";"2014-08-22";154429,693;231822,192;45790;1;41,5557692307692;;;
"MHK";"458462";;"Vegetatieplot";"458462";"2310";"2310";"Binnen";"2014-09-02";154589,494;230766,088;458462;1;41,5557692307692;;;
"MHK";"459222";;"Vegetatieplot";"459222";"2310";"2310";"Binnen";"2014-09-26";178269,588;218254,144;459222;1;41,5557692307692;;;
"MHK";"463798";;"Vegetatieplot";"463798";"2310";"2310";"Binnen";"2014-09-09";215837,614;199214,013;463798;1;41,5557692307692;;;
"MHK";"476086";;"Vegetatieplot";"476086";"2310";"2310";"Binnen";"2014-09-04";215805,554;200622,042;476086;0,675019340921222;41,5557692307692;;;
"MHK";"488054";;"Vegetatieplot";"488054";"2310";"2310";"Binnen";"2014-09-23";218173,665;203758,107;488054;1;41,5557692307692;;;
"MHK";"498514";;"Vegetatieplot";"498514";"2310";"2310";"Binnen";"2014-08-27";236829,591973;195822,113583;498514;1;41,5557692307692;;;
"MHK";"502610";;"Vegetatieplot";"502610";"2310";"2310";"Binnen";"2017-07-10";237373,6;195534,165;502610;1;41,5557692307692;;;
"MHK";"504542";;"Vegetatieplot";"504542";"2310";"2310";"Binnen";"2016-09-19";154461,732;231214,096;504542;0,999970507446378;41,5557692307692;;;
"MHK";"5330";;"Vegetatieplot";"5330";"2310";"2310";"Binnen";"2014-09-16";218781,533;197454,143;5330;1;41,5557692307692;;;
"MHK";"546002";;"Vegetatieplot";"546002";"2310";"2310";"Binnen";"2017-07-17";219677,565;196494,079;546002;1;41,5557692307692;;;
"MHK";"551218";;"Vegetatieplot";"551218";"2310";"2310";"Binnen";"2017-06-28";225181,581;182286,15;551218;1;41,5557692307692;;;
"MHK";"579958";;"Vegetatieplot";"579958";"2310";"2310";"Binnen";"2016-09-28";214732,542;216628,655;579958;0,251504107602007;41,5557692307692;;;
"MHK";"59858";;"Vegetatieplot";"59858";"2310";"2310";"Binnen";"2015-06-01";227805,579;193870,05;59858;1;41,5557692307692;;;
"MHK";"62174";;"Vegetatieplot";"62174";"2310";"2310";"Binnen";"2014-09-03";154109,72;231981,907;62174;1;41,5557692307692;;;
"MHK";"66006";;"Vegetatieplot";"66006";"2310";"2310";"Binnen";"2014-09-26";177725,612;217902,135;66006;1;41,5557692307692;;;
"MHK";"76754";;"Vegetatieplot";"76754";"2310";"2310";"Binnen";"2014-09-10";230269,58;194702,088;76754;1;41,5557692307692;;;
"MHK";"84946";;"Vegetatieplot";"84946";"2310";"2310";"Binnen";"2015-06-01";227773,592;194158,114;84946;1;41,5557692307692;;;
"MHK";"8893";;"Vegetatieplot";"8893";"2310";"2310";"Binnen";"2014-09-03";152797,557;232782,142;8893;1;41,5557692307692;;;
"MHK";"90846";;"Vegetatieplot";"90846";"2310";"2310";"Binnen";"2014-08-19";155389,836;231534,889;90846;1;41,5557692307692;;;
"MHK";"93138";;"Vegetatieplot";"93138";"2310";"2310";"Binnen";"2014-09-09";228893,61;194478,105;93138;1;41,5557692307692;;;
"MHK";"95158";;"Vegetatieplot";"95158";"2310";"2310";"Binnen";"2014-09-09";216893,499;199470,074;95158;0,717355538221587;41,5557692307692;;;
"MHK";"96978";;"Vegetatieplot";"96978";"2310";"2310";"Binnen";"2014-09-01";222365,59;188686,113;96978;1;41,5557692307692;;;
"MHK";"976246";;"Vegetatieplot";"976246";"2310";"2310";"Binnen";"2016-09-28";213877,529;215826,183;976246;0,999970507446378;41,5557692307692;;;
"MHK";"98002";;"Vegetatieplot";"98002";"2310";"2310";"Binnen";"2014-09-11";225245,618;193934,097;98002;1;41,5557692307692;;;
"MHK";"1003230";;"Vegetatieplot";"1003230";"2330";"2330_bu";"Binnen";"2016-09-15";155389,62;230350,078;1003230;0,999970507446378;17,5142857142857;;;
"MHK";"1043410";;"Vegetatieplot";"1043410";"2330";"2330_bu";"Binnen";"2017-07-28";229821,595;195374,083;1043410;1;17,5142857142857;;;
"MHK";"1076854";;"Vegetatieplot";"1076854";"2330";"2330_bu";"Binnen";"2016-10-04";211965,947;208174,512;1076854;0,999970507446378;17,5142857142857;;;
"MHK";"1085366";;"Vegetatieplot";"1085366";"2330";"2330_bu";"Binnen";"2017-07-20";217213,629;197710,367;1085366;0,683402483695316;17,5142857142857;;;
"MHK";"1092434";;"Vegetatieplot";"1092434";"2330";"2330_bu";"Binnen";"2017-07-10";237245,591973;195662,113583;1092434;1;17,5142857142857;;;
"MHK";"1110750";;"Vegetatieplot";"1110750";"2330";"2330_bu";"Binnen";"2016-10-03";153949,579;232078,181;1110750;0,999970507446378;17,5142857142857;;;
"MHK";"170834";;"Vegetatieplot";"170834";"2330";"2330_bu";"Buiten";"2017-07-07";236541,556;195982,157;170834;1;111,15;;;
"MHK";"177078";;"Vegetatieplot";"177078";"2330";"2330_bu";"Binnen";"2014-09-10";218205,705;199470,117;177078;1;17,5142857142857;;;
"MHK";"213942";;"Vegetatieplot";"213942";"2330";"2330_bu";"Binnen";"2014-09-05";215965,659;200270,188;213942;1;17,5142857142857;;;
"MHK";"21714";;"Vegetatieplot";"21714";"2330";"2330_bu";"Binnen";"2014-09-19";219997,653;196526,176;21714;1;17,5142857142857;;;
"MHK";"225910";;"Vegetatieplot";"225910";"2330";"2330_bu";"Binnen";"2014-09-23";218237,625;204046,132;225910;1;17,5142857142857;;;
"MHK";"226230";;"Vegetatieplot";"226230";"2330";"2330_bu";"Binnen";"2014-09-08";216829,549;199726,202;226230;0,256367175307593;17,5142857142857;;;
