"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017020713102084";"Stellaria palustris Retz.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Caltha palustris L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Carex curta Good.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Alisma plantago-aquatica L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Eleocharis palustris (L.) Roem. et Schult.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Valeriana repens Host";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Salix";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Alnus glutinosa (L.) Gaertn.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Lemna minor L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Myosotis laxa subsp. cespitosa (C.F. Schultz) Hyl. ex Nordh.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Epilobium palustre L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Lotus pedunculatus Cav.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Carex x elytroides Fries";62,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Calliergon";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Salix";27,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017020713102084";"Alnus glutinosa (L.) Gaertn.";1,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Betula pendula Roth";1,5;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Molinia caerulea (L.) Moench";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Eriophorum angustifolium Honck.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Rhamnus frangula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Erica tetralix L.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Narthecium ossifragum (L.) Huds.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Myrica gale L.";21,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Juncus bulbosus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Eleocharis multicaulis (Smith) Desv.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Rhynchospora alba (L.) Vahl";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Andromeda polifolia L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Sphagnum fallax (H.Klinggr.) H.Klinggr.";21,875;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Sphagnum auriculatum Schimp.";6,875;"moslaag";"soort_latijn";"Percentage";;"%"
