"";"ID";"Habitattype";"Versie";"Kwaliteitsniveau";"Status";"Aggregatiemethode";"Index_min_min";"Index_min_harm";"Index_harm_harm"
"218";"LI_WIK_007_3130a_16";"3130_aom";"Versie 3";1;TRUE;"RapportageHR";0;0,178571428571429;0,352694737709841
"219";"LI_WIK_007_3130n_16";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"220";"LI_WIK_008_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,0714285714285714;0,120689655172414;0,217904233171409
"221";"LI_ZUT_001_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,857142857142857;-0,728723404255319;-0,725641946369348
"222";"LI_ZUT_001_3140_17";"3140";"Versie 3";1;FALSE;"RapportageHR";-0,857142857142857;-0,625;-0,749922239502333
"223";"OV_DAM_001_3150_18";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,301587301587302;-0,234296763394468
"224";"OV_DON_003_3150_18";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,153846153846154;-0,0920303605313093
"225";"OV_FON_001_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"226";"OV_FON_002_3140_17";"3140";"Versie 3";1;FALSE;"RapportageHR";-0,722222222222222;-0,281767955801104;-0,304812834224599
"227";"OV_KRA_001_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"228";"OV_KRA_001_3130n_18";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"229";"OV_LIN_001_3150_18";"3150";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"230";"OV_STB_002_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,379032258064516;-0,33032322559147
"231";"OV_STB_002_3140_17";"3140";"Versie 3";1;FALSE;"RapportageHR";-0,166666666666667;0,718749999999999;0,215469613259669
"232";"VB_ASD_001_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,504854368932039;-0,492256637168142
"233";"VB_KBL_001_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,742857142857143;-0,467980295566503;-0,283923061773781
"234";"VB_KBL_002_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,957142857142857;-0,899777282850779;-0,892984542211652
"235";"VB_KOR_001_3150_18";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,148051754907793;-0,106387957257624
"236";"VB_VDB_001_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,0714285714285714;-0,0234209542793073;0,010382571119425
"237";"VB_VIE_004_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,833333333333333;-0,692307692307692;-0,519497513739859
"238";"VB_VIE_004_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,642857142857143;-0,45945945945946;-0,353475596873019
