"ID";"IDPlots";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2014093015235050";"ZSCPQ123";"Urtica dioica L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Rumex obtusifolius groep";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Anthriscus sylvestris (L.) Hoffmann";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Calystegia sepium (L.) R. Brown";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Solanum dulcamara L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Bidens frondosa L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Cardamine amara L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Impatiens glandulifera Royle";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Salix dasyclados Wimm.";90;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014093015235050";"ZSCPQ123";"Salix x mollissima Hoffm. ex Elwert";4;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910213880";"ZSCPQ243";"Cotula coronopifolia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910180541";"ZSCPQ242";"Glaux maritima L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910180541";"ZSCPQ242";"Aster tripolium L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910180541";"ZSCPQ242";"Cotula coronopifolia L.";10;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011316224635";"ZSCPQ243";"Aster tripolium L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011316224635";"ZSCPQ243";"Cotula coronopifolia L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910265522";"ZSCPQ244";"Atriplex prostrata Boucher ex DC.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910265522";"ZSCPQ244";"Glaux maritima L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910265522";"ZSCPQ244";"Cotula coronopifolia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070910265522";"ZSCPQ244";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016120513593673";"ZSCPQ225";"Glaux maritima L.";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016120513593673";"ZSCPQ225";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121311132055";"ZSCPQ276";"Aster tripolium L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121311132055";"ZSCPQ276";"Puccinellia maritima (Huds.) Parl.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121210233402";"ZSCPQ234";"Phragmites australis (Cav.) Steud.";27;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121210233402";"ZSCPQ234";"Cirsium arvense (L.) Scop.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
