"ID";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"VBI135099_2";"9120";"9120";"MSA";"MSA";"17.826866223394";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI135099_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI135132_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI135132_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI135132_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI135132_2";"9120";"9120";"MSA";"MSA";"12.081923097386";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI135132_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI136040_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI136040_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI136040_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI136040_2";"9120";"9120";"MSA";"MSA";"1.78090782496";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI136040_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI136102_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI136102_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI136102_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI136102_2";"9120";"9120";"MSA";"MSA";"3.678565731988";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI136102_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI136113_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI136113_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI136113_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI136113_2";"9120";"9120";"MSA";"MSA";"140.216102326625";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI136113_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI136114_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"3.06872026280214";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI136114_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI136114_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI136114_2";"9120";"9120";"MSA";"MSA";"140.216102326625";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI136114_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI136121_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0.955811604536474";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI136121_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI136121_2";"9120";"9120";"bosconstantie";"bosconstantie";"20";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI136121_2";"9120";"9120";"MSA";"MSA";"140.216102326625";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI136121_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137010_2";"91E0";"91E0_va";"volumeAandeelDoodHout";"aandeel dood hout";"6.14431982605776";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137010_2";"91E0";"91E0_va";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137010_2";"91E0";"91E0_va";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137010_2";"91E0";"91E0_va";"MSA";"MSA";"2.55827211697";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137010_2";"91E0";"91E0_va";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137011_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"3.13237187030556";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137011_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137011_2";"9120";"9120";"bosconstantie";"bosconstantie";"41";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137011_2";"9120";"9120";"MSA";"MSA";"5.65309766466";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137011_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137028_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"4.68220048573464";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137028_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137028_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137028_2";"9120";"9120";"MSA";"MSA";"10.996608329638";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137028_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137035_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137035_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137035_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137035_2";"9120";"9120";"MSA";"MSA";"37.272402063797";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137035_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137037_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"2.31744379715774";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137037_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137037_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137037_2";"9120";"9120";"MSA";"MSA";"2.91331497570285";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137037_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137052_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"22.6930901128698";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137052_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137052_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137052_2";"9120";"9120";"MSA";"MSA";"111.215858563291";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137052_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137053_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"1.16894379005186";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137053_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137053_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137053_2";"9120";"9120";"MSA";"MSA";"111.215858563291";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137053_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137054_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"7.8327944965739";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137054_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137054_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137054_2";"9120";"9120";"MSA";"MSA";"111.215858563291";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137054_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI137060_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"15.9076521645081";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI137060_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI137060_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI137060_2";"9120";"9120";"MSA";"MSA";"111.215858563291";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI137060_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138019_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"1.09926764074605";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138019_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138019_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138019_2";"9120";"9120";"MSA";"MSA";"8.91007849084";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138019_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138020_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138020_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138020_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138020_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138020_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138020_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138020_2";"9120";"9120";"MSA";"MSA";"119.822289333592";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138020_2";"9120";"9120";"MSA";"MSA";"119.822289333592";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138020_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138020_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138027_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0.160178017197659";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138027_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138027_2";"9120";"9120";"bosconstantie";"bosconstantie";"41";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138027_2";"9120";"9120";"MSA";"MSA";"119.822289333592";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138027_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138028_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138028_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138028_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138028_2";"9120";"9120";"MSA";"MSA";"119.822289333592";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138028_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138036_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"13.8990921111531";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138036_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
