"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"66270";"Binnen";"4010";1;2016-10-25;"Atlantic";"vegetatieopname";2016;13;59,3729147585655;18406
"71902";"Binnen";"4010";1;2016-10-07;"Atlantic";"vegetatieopname";2016;14;59,3729147585655;18406
"72690";"Binnen";"4030";1;2014-08-20;"Atlantic";"vegetatieopname";2014;24;114,382132088648;40034
"75474";"Binnen";"4030";1;2014-09-01;"Atlantic";"vegetatieopname";2014;25;114,382132088648;40034
"76242";"Binnen";"4010";0,801668360543478;2014-09-09;"Atlantic";"vegetatieopname";2014;15;59,3729147585655;18406
"76754";"Binnen";"2310";1;2014-09-10;"Atlantic";"vegetatieopname";2014;18;41,4513647749938;21555
"77278";"Binnen";"4010";1;2016-11-30;"Atlantic";"vegetatieopname";2016;16;59,3729147585655;18406
"77394";"Binnen";"4030";1;2014-08-22;"Atlantic";"vegetatieopname";2014;26;114,382132088648;40034
"81374";"Binnen";"4010";1;2016-10-27;"Atlantic";"vegetatieopname";2016;17;59,3729147585655;18406
"82222";"Binnen";"4030";0,919626734322581;2016-10-21;"Atlantic";"vegetatieopname";2016;27;114,382132088648;40034
"82654";"Binnen";"4010";1;2016-11-25;"Atlantic";"vegetatieopname";2016;18;59,3729147585655;18406
"84946";"Binnen";"2310";1;2015-06-01;"Atlantic";"vegetatieopname";2015;19;41,4513647749938;21555
"87250";"Binnen";"4010";1;2017-07-17;"Atlantic";"vegetatieopname";2017;19;59,3729147585655;18406
"90846";"Binnen";"2310";1;2014-08-19;"Atlantic";"vegetatieopname";2014;20;41,4513647749938;21555
"91122";"Binnen";"4030";0,574609273274882;2017-07-03;"Atlantic";"vegetatieopname";2017;28;114,382132088648;40034
"91410";"Binnen";"4030";0,999970507446378;2016-09-27;"Atlantic";"vegetatieopname";2016;29;114,382132088648;40034
"91510";"Binnen";"2330_bu";1;2015-09-09;"Atlantic";"vegetatieopname";2015;5;16,7230246124945;5853
"92382";"Binnen";"4030";0,907927863567406;2016-10-07;"Atlantic";"vegetatieopname";2016;30;114,382132088648;40034
"93138";"Binnen";"2310";1;2014-09-09;"Atlantic";"vegetatieopname";2014;21;41,4513647749938;21555
"94942";"Binnen";"4010";1;2014-08-21;"Atlantic";"vegetatieopname";2014;20;59,3729147585655;18406
"95158";"Binnen";"2310";0,717355538221587;2014-09-09;"Atlantic";"vegetatieopname";2014;22;41,4513647749938;21555
"95710";"Binnen";"4010";0,984870436611055;2016-12-01;"Atlantic";"vegetatieopname";2016;21;59,3729147585655;18406
"95710";"Binnen";"4010";0,984870436611055;2016-12-05;"Atlantic";"vegetatieopname";2016;22;59,3729147585655;18406
"96978";"Binnen";"2310";1;2014-09-01;"Atlantic";"vegetatieopname";2014;23;41,4513647749938;21555
