"Versie";"TypeResultaat";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Versie 2.0";"Habitattype";2160;"2160";"Verstoring";"verbossing";"b";"Binnen";41;620,200000000001;95,12;82,23;98,8
"Versie 3";"Habitattype";2160;"2160";"Verstoring";"verbossing";"b";"Binnen";41;620,200000000001;82,93;68,07;91,71
