"Meetnet";"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";2160;"2160";"Binnen";41;620,200000000001;97,56;84,29;99,67
"PINK";"Vlaanderen";"Habitattype";"Versie 3";2160;"2160";"Binnen";41;620,200000000001;73,17;57,54;84,59
