Versie;Habitattype;Criterium;Indicator;Belang
Versie 3;2150;Verstoring;overbetreding;
Versie 3;2150;Verstoring;verbossing/verstruweling;
Versie 3;2150;Verstoring;vergrassing;
Versie 3;2150;Verstoring;verruiging;
Versie 2.0;2160;Structuur;horizontale structuur;
Versie 2.0;2160;Structuur;ouderdomsstructuur Struikheide;
Versie 2.0;2160;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2160;Vegetatie;sleutelsoorten;
Versie 2.0;2160;Verstoring;invasieve exoten;
Versie 2.0;2160;Verstoring;overige exoten;
Versie 2.0;2160;Verstoring;verbossing;
Versie 3;2160;Structuur;horizontale structuur;
Versie 3;2160;Vegetatie;sleutelsoorten;
Versie 3;2160;Verstoring;invasieve exoten;
Versie 3;2160;Verstoring;overige exoten;
Versie 3;2160;Verstoring;verbossing;
Versie 2.0;2170;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2170;Vegetatie;sleutelsoorten;
Versie 2.0;2170;Verstoring;verbossing/verstruweling;
Versie 2.0;2170;Verstoring;verruiging;
Versie 3;2170;Vegetatie;sleutelsoorten;
Versie 3;2170;Verstoring;invasieve exoten;
Versie 3;2170;Verstoring;overige exoten;
Versie 3;2170;Verstoring;verbossing/verstruweling;
Versie 3;2170;Verstoring;verruiging;
Versie 2.0;2180;Structuur;aandeel dood hout;b
Versie 2.0;2180;Structuur;bosconstantie;zb
Versie 2.0;2180;Structuur;hoeveelheid dik dood hout;zb
Versie 2.0;2180;Structuur;horizontale structuur;b
Versie 2.0;2180;Structuur;minimum structuurareaal;geen score
Versie 2.0;2180;Structuur;verticale structuur;b
Versie 2.0;2180;Vegetatie;bedekking sleutelsoorten van de kruidlaag;b
Versie 2.0;2180;Vegetatie;sleutelsoorten van de boom- en struiklaag;b
Versie 2.0;2180;Vegetatie;sleutelsoorten van de kruidlaag;b
Versie 2.0;2180;Verstoring;invasieve exoten;b
Versie 2.0;2180;Verstoring;overige exoten;b
Versie 2.0;2180;Verstoring;verruiging;zb
Versie 3;2180;Structuur;aandeel dood hout;b
Versie 3;2180;Structuur;bosconstantie;zb
Versie 3;2180;Structuur;hoeveelheid dik dood hout;zb
Versie 3;2180;Structuur;horizontale structuur;b
Versie 3;2180;Structuur;minimum structuurareaal;geen score
Versie 3;2180;Structuur;verticale structuur;b
Versie 3;2180;Vegetatie;sleutelsoorten van de boom- en struiklaag;b
Versie 3;2180;Vegetatie;sleutelsoorten van de kruidlaag;b
Versie 3;2180;Verstoring;invasieve exoten;b
Versie 3;2180;Verstoring;overige exoten;b
Versie 3;2180;Verstoring;verruiging;zb
Versie 2.0;2190;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2190;Vegetatie;sleutelsoorten;
Versie 2.0;2190;Verstoring;verbossing/verstruweling;
Versie 2.0;2190;Verstoring;verdroging;
Versie 2.0;2190;Verstoring;verruiging;
Versie 3;2190;Vegetatie;sleutelsoorten;
Versie 3;2190;Verstoring;verbossing/verstruweling;
Versie 3;2190;Verstoring;verdroging;
Versie 3;2190;Verstoring;verruiging;
Versie 2.0;2310;Structuur;(korst)moslaag;b
Versie 2.0;2310;Structuur;dwergstruiken;b
Versie 2.0;2310;Structuur;naakte bodem;zb
Versie 2.0;2310;Structuur;ouderdomsstructuur Struikheide;b
Versie 2.0;2310;Vegetatie;sleutelsoorten;b
Versie 2.0;2310;Verstoring;invasieve exoten;zb
Versie 2.0;2310;Verstoring;verbossing;b
Versie 2.0;2310;Verstoring;vergrassing/verruiging;zb
Versie 3;2310;Structuur;dwergstruiken;b
Versie 3;2310;Structuur;horizontale structuur;zb
Versie 3;2310;Structuur;ouderdomsstructuur Struikheide;b
Versie 3;2310;Vegetatie;sleutelsoorten;b
Versie 3;2310;Verstoring;invasieve exoten;zb
Versie 3;2310;Verstoring;verbossing;b
Versie 3;2310;Verstoring;vergrassing;zb
Versie 3;2310;Verstoring;verruiging;zb
Versie 2.0;2330;Structuur;éénjarigen;zb
Versie 2.0;2330;Structuur;horizontale structuur;zb
Versie 2.0;2330;Structuur;korstmosvegetaties;b
Versie 2.0;2330;Structuur;naakte bodem;zb
Versie 2.0;2330;Vegetatie;sleutelsoorten;b
Versie 2.0;2330;Verstoring;invasieve exoten;zb
Versie 2.0;2330;Verstoring;verbossing;b
Versie 2.0;2330;Verstoring;vergrassing;zb
Versie 3;2330;Structuur;éénjarigen;zb
Versie 3;2330;Structuur;horizontale structuur;zb
Versie 3;2330;Structuur;naakte bodem;zb
Versie 3;2330;Vegetatie;sleutelsoorten;b
Versie 3;2330;Verstoring;invasieve exoten;zb
Versie 3;2330;Verstoring;verbossing;b
Versie 3;2330;Verstoring;vergrassing;zb
Versie 2.0;3110;Structuur;doorzicht;
Versie 2.0;3110;Structuur;horizontale structuur;
Versie 2.0;3110;Structuur;oeverzone ZW-zijde;
Versie 2.0;3110;Structuur;verticale structuur;
Versie 2.0;3110;Vegetatie;sleutelsoorten;
Versie 2.0;3110;Verstoring;eutrofiëring;zb
Versie 2.0;3110;Verstoring;invasieve exoten;
Versie 2.0;3110;Verstoring;vergrassing;
Versie 2.0;3110;Verstoring;verzuring;
Versie 3;3110;Structuur;horizontale structuur;
Versie 3;3110;Structuur;verticale structuur;
Versie 3;3110;Vegetatie;sleutelsoorten;
Versie 3;3110;Verstoring;eutrofiëring;zb
Versie 3;3110;Verstoring;invasieve exoten;
Versie 3;3110;Verstoring;verzuring;
Versie 2.0;3130;Structuur;doorzicht;
Versie 2.0;3130;Structuur;horizontale structuur;
Versie 2.0;3130;Structuur;oeverzone ZW-zijde;
Versie 2.0;3130;Structuur;verticale structuur;
Versie 2.0;3130;Vegetatie;sleutelsoorten;
Versie 2.0;3130;Verstoring;eutrofiëring;zb
Versie 2.0;3130;Verstoring;invasieve exoten;
Versie 2.0;3130;Verstoring;vergrassing;
Versie 2.0;3130;Verstoring;verzuring;
Versie 3;3130;Structuur;horizontale structuur;
Versie 3;3130;Structuur;verticale structuur;
Versie 3;3130;Vegetatie;sleutelsoorten;
Versie 3;3130;Verstoring;eutrofiëring;zb
Versie 3;3130;Verstoring;invasieve exoten;
Versie 3;3130;Verstoring;verzuring;
Versie 2.0;3140;Structuur;doorzicht;
Versie 2.0;3140;Structuur;horizontale structuur;
Versie 2.0;3140;Vegetatie;sleutelsoorten;
Versie 2.0;3140;Verstoring;eutrofiëring;zb
Versie 2.0;3140;Verstoring;invasieve exoten;
Versie 3;3140;Structuur;horizontale structuur;
Versie 3;3140;Structuur;verticale structuur;
Versie 3;3140;Vegetatie;sleutelsoorten;
Versie 3;3140;Verstoring;eutrofiëring;zb
Versie 3;3140;Verstoring;invasieve exoten;
Versie 2.0;3150;Structuur;doorzicht;
Versie 2.0;3150;Structuur;horizontale structuur;
Versie 2.0;3150;Vegetatie;sleutelsoorten;
Versie 2.0;3150;Verstoring;eutrofiëring;zb
Versie 2.0;3150;Verstoring;invasieve exoten;
Versie 3;3150;Structuur;horizontale structuur;
Versie 3;3150;Structuur;verticale structuur;
Versie 3;3150;Vegetatie;sleutelsoorten;
Versie 3;3150;Verstoring;eutrofiëring;zb
Versie 3;3150;Verstoring;invasieve exoten;
Versie 2.0;3160;Vegetatie;sleutelsoorten;
Versie 2.0;3160;Verstoring;elektrisch geleidend vermogen;
Versie 2.0;3160;Verstoring;eutrofiëring;zb
Versie 2.0;3160;Verstoring;invasieve exoten;
Versie 2.0;3160;Verstoring;vergrassing;
Versie 2.0;3160;Verstoring;verzuring;
Versie 3;3160;Structuur;horizontale structuur;
Versie 3;3160;Vegetatie;sleutelsoorten;
Versie 3;3160;Verstoring;eutrofiëring;zb
Versie 3;3160;Verstoring;invasieve exoten;
Versie 3;3160;Verstoring;verzuring;
Versie 2.0;3260;Structuur;helofyten;
