"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"Meetnet";"ID";"Habitattype";"SGO";"SBZH";"IDToon";"Regio"
"30";"TR152500.3";"BERWIJN - BERWINNE";245544;161268;2008-07-24;"monitoringVMM_KRW";"TR152500.3_24/07/2008";"3260";">50";"binnen_sa";NA;"Con"
"31";"TR152500.3";"BERWIJN - BERWINNE";245544;161268;2011-07-25;"monitoringVMM_KRW";"TR152500.3_25/07/2011";"3260";">50";"binnen_sa";NA;"Con"
"32";"TR152500.3";"BERWIJN - BERWINNE";245544;161268;2013-08-27;"monitoringVMM_KRW";"TR152500.3_27/08/2013";"3260";">50";"binnen_sa";NA;"Con"
"33";"TR190870.1";"ANTITANKKANAAL - ANTITANKGRACHT";167015;213105;2010-08-19;"monitoringVMM_KRW";"TR190870.1_19/08/2010";"3260";"<10";"binnen_sa";NA;"Atl"
"34";"TR190870.1";"ANTITANKKANAAL - ANTITANKGRACHT";167015;213105;2013-07-30;"monitoringVMM_KRW";"TR190870.1_30/07/2013";"3260";"<10";"binnen_sa";NA;"Atl"
"35";"TR262200.1";"GROTE NETE - NETE";207564;205716;2007-09-12;"monitoringVMM_KRW";"TR262200.1_12/09/2007";"3260";"10-50";"binnen_sa";NA;"Atl"
"36";"TR262200.1";"GROTE NETE - NETE";207564;205716;2010-07-15;"monitoringVMM_KRW";"TR262200.1_15/07/2010";"3260";"10-50";"binnen_sa";NA;"Atl"
"37";"TR262200.1";"GROTE NETE - NETE";207564;205716;2016-08-17;"monitoringVMM_KRW";"TR262200.1_17/08/2016";"3260";"10-50";"binnen_sa";NA;"Atl"
"38";"TR262200.1";"GROTE NETE - NETE";207564;205716;2013-07-22;"monitoringVMM_KRW";"TR262200.1_22/07/2013";"3260";"10-50";"binnen_sa";NA;"Atl"
"39";"TR262200.2";"GROTE NETE - NETE";212550;205735;2010-07-15;"monitoringVMM_KRW";"TR262200.2_15/07/2010";"3260";"10-50";"binnen_sa";NA;"Atl"
"40";"TR262200.2";"GROTE NETE - NETE";212550;205735;2013-07-22;"monitoringVMM_KRW";"TR262200.2_22/07/2013";"3260";"10-50";"binnen_sa";NA;"Atl"
"41";"TR274000.1";"KLEINE NETE";181695;208584;2013-07-18;"monitoringVMM_KRW";"TR274000.1_18/07/2013";"3260";">50";"binnen_sa";NA;"Atl"
"42";"TR274000.1";"KLEINE NETE";181695;208584;2007-08-06;"monitoringVMM_KRW";"TR274000.1_6/08/2007";"3260";">50";"binnen_sa";NA;"Atl"
"43";"TR274000.1";"KLEINE NETE";181695;208584;2010-07-08;"monitoringVMM_KRW";"TR274000.1_8/07/2010";"3260";">50";"binnen_sa";NA;"Atl"
"44";"TR274000.2";"KLEINE NETE";186872;209880;2013-07-18;"monitoringVMM_KRW";"TR274000.2_18/07/2013";"3260";">50";"binnen_sa";NA;"Atl"
"45";"TR274000.2";"KLEINE NETE";186872;209880;2010-06-04;"monitoringVMM_KRW";"TR274000.2_4/06/2010";"3260";">50";"binnen_sa";NA;"Atl"
"46";"TR274000.2";"KLEINE NETE";186872;209880;2007-08-07;"monitoringVMM_KRW";"TR274000.2_7/08/2007";"3260";">50";"binnen_sa";NA;"Atl"
"47";"TR274000.2";"KLEINE NETE";186872;209880;2010-07-08;"monitoringVMM_KRW";"TR274000.2_8/07/2010";"3260";">50";"binnen_sa";NA;"Atl"
"48";"TR274000.3";"KLEINE NETE";190875;211820;2010-06-17;"monitoringVMM_KRW";"TR274000.3_17/06/2010";"3260";">50";"binnen_sa";NA;"Atl"
"49";"TR274000.3";"KLEINE NETE";190875;211820;2013-07-18;"monitoringVMM_KRW";"TR274000.3_18/07/2013";"3260";">50";"binnen_sa";NA;"Atl"
"50";"TR274000.3";"KLEINE NETE";190875;211820;2016-08-23;"monitoringVMM_KRW";"TR274000.3_23/08/2016";"3260";">50";"binnen_sa";NA;"Atl"
"51";"TR274000.3";"KLEINE NETE";190875;211820;2010-07-08;"monitoringVMM_KRW";"TR274000.3_8/07/2010";"3260";">50";"binnen_sa";NA;"Atl"
"52";"TR276700.1";"KLEINE NETE";195578;214930;2013-07-17;"monitoringVMM_KRW";"TR276700.1_17/07/2013";"3260";">50";"binnen_sa";NA;"Atl"
"53";"TR276700.1";"KLEINE NETE";195578;214930;2016-08-23;"monitoringVMM_KRW";"TR276700.1_23/08/2016";"3260";">50";"binnen_sa";NA;"Atl"
"54";"TR276700.1";"KLEINE NETE";195578;214930;2010-08-25;"monitoringVMM_KRW";"TR276700.1_25/08/2010";"3260";">50";"binnen_sa";NA;"Atl"
"55";"TR276700.1";"KLEINE NETE";195578;214930;2007-08-08;"monitoringVMM_KRW";"TR276700.1_8/08/2007";"3260";">50";"binnen_sa";NA;"Atl"
"56";"TR276700.2";"KLEINE NETE";197370;215135;2013-07-17;"monitoringVMM_KRW";"TR276700.2_17/07/2013";"3260";">50";"binnen_sa";NA;"Atl"
"57";"TR276700.2";"KLEINE NETE";197370;215135;2016-08-23;"monitoringVMM_KRW";"TR276700.2_23/08/2016";"3260";">50";"binnen_sa";NA;"Atl"
"58";"TR276700.2";"KLEINE NETE";197370;215135;2010-08-25;"monitoringVMM_KRW";"TR276700.2_25/08/2010";"3260";">50";"binnen_sa";NA;"Atl"
"59";"TR276700.2";"KLEINE NETE";197370;215135;2010-06-04;"monitoringVMM_KRW";"TR276700.2_4/06/2010";"3260";">50";"binnen_sa";NA;"Atl"
"60";"TR276700.2";"KLEINE NETE";197370;215135;2007-08-08;"monitoringVMM_KRW";"TR276700.2_8/08/2007";"3260";">50";"binnen_sa";NA;"Atl"
"61";"TR277000.1";"KLEINE NETE";198945;214632;2016-08-01;"monitoringVMM_KRW";"TR277000.1_1/08/2016";"3260";"10-50";"buiten";NA;"Atl"
"62";"TR277000.1";"KLEINE NETE";198945;214632;2008-09-01;"monitoringVMM_KRW";"TR277000.1_1/09/2008";"3260";"10-50";"buiten";NA;"Atl"
"63";"TR277000.1";"KLEINE NETE";198945;214632;2013-07-16;"monitoringVMM_KRW";"TR277000.1_16/07/2013";"3260";"10-50";"buiten";NA;"Atl"
"64";"TR277000.1";"KLEINE NETE";198945;214632;2010-09-22;"monitoringVMM_KRW";"TR277000.1_22/09/2010";"3260";"10-50";"buiten";NA;"Atl"
"65";"TR306500.1";"LOEIJENS NEETJE - GEMEENTELOOP";196022;215583;2011-08-01;"monitoringVMM_KRW";"TR306500.1_1/08/2011";"3260";"10-50";"buiten";NA;"Atl"
"66";"TR306500.1";"LOEIJENS NEETJE - GEMEENTELOOP";196022;215583;2017-07-03;"monitoringVMM_KRW";"TR306500.1_3/07/2017";"3260";"10-50";"buiten";NA;"Atl"
"67";"TR306500.1";"LOEIJENS NEETJE - GEMEENTELOOP";196022;215583;2008-08-07;"monitoringVMM_KRW";"TR306500.1_7/08/2008";"3260";"10-50";"buiten";NA;"Atl"
"68";"TR306500.2";"LOEIJENS NEETJE - GEMEENTELOOP";196737;217195;2011-08-01;"monitoringVMM_KRW";"TR306500.2_1/08/2011";"3260";"10-50";"buiten";NA;"Atl"
"69";"TR306500.2";"LOEIJENS NEETJE - GEMEENTELOOP";196737;217195;2017-08-01;"monitoringVMM_KRW";"TR306500.2_1/08/2017";"3260";"10-50";"buiten";NA;"Atl"
"70";"TR306500.2";"LOEIJENS NEETJE - GEMEENTELOOP";196737;217195;2008-08-07;"monitoringVMM_KRW";"TR306500.2_7/08/2008";"3260";"10-50";"buiten";NA;"Atl"
"71";"TR306500.3";"LOEIJENS NEETJE - GEMEENTELOOP";197914;219064;2011-08-01;"monitoringVMM_KRW";"TR306500.3_1/08/2011";"3260";"10-50";"buiten";NA;"Atl"
"72";"TR306500.3";"LOEIJENS NEETJE - GEMEENTELOOP";197914;219064;2017-07-03;"monitoringVMM_KRW";"TR306500.3_3/07/2017";"3260";"10-50";"buiten";NA;"Atl"
"73";"TR333500.2";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";205977;210511;2009-08-12;"monitoringVMM_KRW";"TR333500.2_12/08/2009";"3260";"10-50";"buiten";NA;"Atl"
"74";"TR333500.2";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";205977;210511;2011-09-20;"monitoringVMM_KRW";"TR333500.2_20/09/2011";"3260";"10-50";"buiten";NA;"Atl"
"75";"TR333500.2";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";205977;210511;2017-09-07;"monitoringVMM_KRW";"TR333500.2_7/09/2017";"3260";"10-50";"buiten";NA;"Atl"
"76";"TR333500.3";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";208549;210821;2009-08-11;"monitoringVMM_KRW";"TR333500.3_11/08/2009";"3260";"10-50";"buiten";NA;"Atl"
"77";"TR333500.3";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";208549;210821;2011-09-20;"monitoringVMM_KRW";"TR333500.3_20/09/2011";"3260";"10-50";"buiten";NA;"Atl"
"78";"TR333500.3";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";208549;210821;2017-09-07;"monitoringVMM_KRW";"TR333500.3_7/09/2017";"3260";"10-50";"buiten";NA;"Atl"
"79";"TR335600.3";"ASBEEK - ASDONKBEEK -  HANSKENSELSLOOP";208282;203672;2014-08-18;"monitoringVMM_KRW";"TR335600.3_18/08/2014";"3260";"10-50";"binnen_sa";NA;"Atl"
"80";"TR335600.3";"ASBEEK - ASDONKBEEK -  HANSKENSELSLOOP";208282;203672;2012-07-19;"monitoringVMM_KRW";"TR335600.3_19/07/2012";"3260";"10-50";"binnen_sa";NA;"Atl"
"81";"TR335600.3";"ASBEEK - ASDONKBEEK -  HANSKENSELSLOOP";208282;203672;2017-07-24;"monitoringVMM_KRW";"TR335600.3_24/07/2017";"3260";"10-50";"binnen_sa";NA;"Atl"
"82";"TR418000.1";"ZWARTEBEEK";198885;186870;2007-06-01;"monitoringVMM_KRW";"TR418000.1_1/06/2007";"3260";">50";"buiten";NA;"Atl"
"83";"TR418000.1";"ZWARTEBEEK";198885;186870;2016-09-19;"monitoringVMM_KRW";"TR418000.1_19/09/2016";"3260";">50";"buiten";NA;"Atl"
"84";"TR72000.2";"MARK - DE MARK";177333;236657;2007-06-28;"monitoringVMM_KRW";"TR72000.2_28/06/2007";"3260";">50";"binnen_sa";NA;"Atl"
"85";"TR72000.2";"MARK - DE MARK";177333;236657;2016-08-30;"monitoringVMM_KRW";"TR72000.2_30/08/2016";"3260";">50";"binnen_sa";NA;"Atl"
