"";"ID";"Habitattype";"Versie";"Kwaliteitsniveau";"Status";"Aggregatiemethode";"Index_min_min";"Index_min_harm";"Index_harm_harm"
"47";"TR152500.1_27/08/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"48";"TR152500.1_27/08/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"49";"TR152500.2_13/09/2017";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"50";"TR152500.2_13/09/2017";"3260";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"51";"TR152500.2_24/07/2008";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,468848503452748;0,47533350271126
"52";"TR152500.2_24/07/2008";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,171390841590168;0,293083508970663
"53";"TR152500.2_25/07/2011";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,434684927190932;0,445389759278596
"54";"TR152500.2_25/07/2011";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,124891165835565;0,233344000401753
"55";"TR152500.2_27/08/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,450308844315175;0,461248989100182
"56";"TR152500.2_27/08/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,155014257082431;0,269649271109198
"57";"TR152500.3_13/09/2017";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,488823605910741;0,488823605910741
"58";"TR152500.3_13/09/2017";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,151702002871974;-0,0871728850972976
"59";"TR152500.3_24/07/2008";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,494234352906903;0,494234352906903
"60";"TR152500.3_24/07/2008";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,191239560638012;0,32252674188234
"61";"TR152500.3_25/07/2011";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,484621064833438;0,484621064833438
"62";"TR152500.3_25/07/2011";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,155207547009364;-0,0912307643612212
"63";"TR152500.3_27/08/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,487651485902181;0,487651485902181
"64";"TR152500.3_27/08/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,152669424894276;-0,0882929894279484
"65";"TR190870.1_19/08/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"66";"TR190870.1_19/08/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"67";"TR190870.1_30/07/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,48682069485177;0,486974355141174
"68";"TR190870.1_30/07/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-0,5;-0,153104001949835;-0,0888537935164466
"69";"TR262200.1_12/09/2007";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,583333333333333;-0,248061270794772;-0,194202578423475
"70";"TR262200.1_12/09/2007";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,35368764682718;-0,253002456584237
"71";"TR262200.1_15/07/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,861111111111111;-0,66002117936007;-0,633000489467638
"72";"TR262200.1_15/07/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,830526785714286;-0,61702064484859;-0,417438211024525
"73";"TR262200.1_17/08/2016";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-1;-1;-1
"74";"TR262200.1_17/08/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"75";"TR262200.1_22/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,642946428571429;-0,384667063968672;-0,358296915803408
"76";"TR262200.1_22/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,642946428571429;-0,524440214773411;-0,424813249006652
"77";"TR262200.2_15/07/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,43105031280994;0,434096506571666
"78";"TR262200.2_15/07/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0845470632532215;0,19020007571389
"79";"TR262200.2_22/07/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,450269278863455;0,45056243685424
"80";"TR262200.2_22/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,114836448022922;0,228784994549819
"81";"TR274000.1_18/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-1;-1;-1
"82";"TR274000.1_18/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"83";"TR274000.1_6/08/2007";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0;0,25061886594349;0,326310947090558
"84";"TR274000.1_6/08/2007";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0237072869783244;0,0644711179349893
"85";"TR274000.1_8/07/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,0261447400000002;0,0747274757231706;0,173250321747882
"86";"TR274000.1_8/07/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,26348450399875;-0,113630062390167;-0,10740323935304
"87";"TR274000.2_18/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,235096026785714;-0,0885198323197998;0,0336953075015143
"88";"TR274000.2_18/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,555164357725011;-0,341437305972825;-0,317602223686824
"89";"TR274000.2_4/06/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0,0357142857142857;0,301691325636815;0,376099516183984
"90";"TR274000.2_4/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0849840370714552;0,135764990920242
"91";"TR274000.2_7/08/2007";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,0865513392857144;0,119188693759006;0,126739925695077
"92";"TR274000.2_7/08/2007";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,0865513392857144;0,0510847527721627;0,0942512661125217
"93";"TR274000.2_8/07/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,144130077925893;-0,042879418515661;0,0603638791566328
"94";"TR274000.2_8/07/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,536231300802561;-0,306302105817696;-0,290823793092648
"95";"TR274000.3_17/06/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0;0,188133047587072;0,237643099648283
"96";"TR274000.3_17/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,35257516179761;-0,153399098876334;-0,116697471769048
"97";"TR274000.3_18/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,0426146603433231;0,156177317560781;0,167481165195396
"98";"TR274000.3_18/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,589691997289996;-0,32389696428817;-0,287802822001684
"99";"TR274000.3_23/08/2016";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"100";"TR274000.3_23/08/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"101";"TR274000.3_8/07/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,753504611978589;-0,518093414465858;-0,493250864917797
"102";"TR274000.3_8/07/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,894359119419395;-0,762553673793801;-0,760766418131901
"103";"TR276700.1_17/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0;0,10409929631576;0,136332674858307
"104";"TR276700.1_17/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,526426977605364;-0,264307444338417;-0,245245774116352
"105";"TR276700.1_23/08/2016";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0;0,209051418946508;0,24707699303945
"106";"TR276700.1_23/08/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,328235451308109;-0,304183361253749
"107";"TR276700.1_25/08/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,903697654328378;-0,752782865602374;-0,751718388891613
"108";"TR276700.1_25/08/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,958727566140734;-0,889648142385268;-0,88922967846881
"109";"TR276700.1_8/08/2007";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,346344661415145;0,357870036944926
"110";"TR276700.1_8/08/2007";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0144961023263435;0,0848924407235274
"111";"TR276700.2_17/07/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,288995038429119;0,330707531498373
"112";"TR276700.2_17/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0312675081751499;0,0825630448932138
"113";"TR276700.2_23/08/2016";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-1;-1;-1
"114";"TR276700.2_23/08/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"115";"TR276700.2_25/08/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,064825;0,117854275753516;0,149708969632995
"116";"TR276700.2_25/08/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0696365144695561;0,0806760661545747
"117";"TR276700.2_4/06/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0,0357142857142857;0,442050078505123;0,446509230012474
"118";"TR276700.2_4/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";0,0105;0,123000095274124;0,226052902182071
"119";"TR276700.2_8/08/2007";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,333848124332776;0,354889809871747
"120";"TR276700.2_8/08/2007";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0741931865461334;0,152981122505659
"121";"TR277000.1_1/08/2016";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,208341447703493;0,0749315709526559;0,0784819623438069
"122";"TR277000.1_1/08/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,660717763301497;-0,392344480558737;-0,361276464630113
"123";"TR277000.1_1/09/2008";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-0,0555555555555556;0,0173302345615527;0,0874172888326759
"124";"TR277000.1_1/09/2008";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,44792323564375;-0,184983599803543;-0,163290132759059
"125";"TR277000.1_16/07/2013";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0,00746411428787889;0,215836198026659;0,217829214328674
"126";"TR277000.1_16/07/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,563964457140693;-0,295511459392108;-0,25248976908719
"127";"TR277000.1_22/09/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,390374287455756;0,396764627126422
"128";"TR277000.1_22/09/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,0183600681418155;0,10864224176147
"129";"TR306500.1_1/08/2011";"3260";"Versie 2.0";1;FALSE;"RapportageHR";-1;-1;-1
