"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"1152657";"6510";"6510_hua";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"25,6";"<";"70";TRUE;792;"792 AND 956";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"60";">";"5";TRUE;956;"792 AND 956";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2,98";">=";"10";FALSE;1115;"1115";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"3";FALSE;390;"390 AND 636";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aanwezigheid specifieke sleutelsoorten";"1";">=";"1";TRUE;636;"390 AND 636";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"1";"<=";"30";TRUE;733;"733";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1239;"1239";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1335;"1335";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1459;"1459";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"verdroging";"zb";"bedekking verdroging";"0";"<=";"30";TRUE;1477;"1477";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"62,8";"<=";"50";FALSE;1491;"1491";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"vernatting";"zb";"bedekking vernatting";"21,6";"<=";"30";TRUE;1586;"1586";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"2";"<=";"30";TRUE;1606;"1606";"Buiten";"Atlantic";1;15,1;15,1
"118441";"6510";"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"60";"<=";"50";FALSE;1936;"1936";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"10,72";"<=";"70";TRUE;793;"793 AND 953";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"67,438521568";">=";"5";TRUE;953;"793 AND 953";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"50";FALSE;1135;"1135";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;385;"385";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"30";"<=";"30";TRUE;1242;"1242";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1331;"1331";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"64,57744847872";"<=";"30";FALSE;1704;"1704";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1945;"1945";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"10,72";"<";"70";TRUE;791;"791 AND 957";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"64,9876576";">";"5";TRUE;957;"791 AND 957";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"30";FALSE;1137;"1137";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;396;"396";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"62,74432";"<=";"30";FALSE;731;"731";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"30";"<=";"10";FALSE;1258;"1258";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1339;"1339";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"2";"<=";"10";TRUE;1458;"1458";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"15,11293312";"<=";"50";TRUE;1495;"1495";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"64,21599387136";"<=";"30";FALSE;1601;"1601";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"127218";"6510";"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"40";"<=";"50";TRUE;1936;"1936";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"1,99";"<=";"70";TRUE;793;"793 AND 953";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"52,93079551";">=";"5";TRUE;953;"793 AND 953";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"10,673686";">=";"50";FALSE;1135;"1135";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"4";">=";"7";FALSE;385;"385";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"20";"<=";"30";TRUE;1242;"1242";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"5";"<=";"10";TRUE;1331;"1331";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"8,70495520960001";"<=";"30";TRUE;1704;"1704";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"kb";"<";"D";TRUE;1945;"1945";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"1,99";"<";"70";TRUE;791;"791 AND 957";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"32,07907";">";"5";TRUE;957;"791 AND 957";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"9,77140000000001";">=";"30";FALSE;1137;"1137";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";">=";"7";FALSE;396;"396";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"2,9701";"<=";"30";TRUE;731;"731";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"20";"<=";"10";FALSE;1258;"1258";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"5";"<=";"10";TRUE;1339;"1339";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1458;"1458";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"1,99";"<=";"50";TRUE;1495;"1495";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"8,70495520960001";"<=";"30";TRUE;1601;"1601";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"1280278";"6510";"6510_hus";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"40";"<=";"50";TRUE;1935;"1935";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"14,3749";"<=";"70";TRUE;790;"790 AND 955";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"68,1163264";">=";"5";TRUE;955;"790 AND 955";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"50";FALSE;1089;"1089";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;392;"392";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1247;"1247";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1356;"1356";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"40,6";"<=";"30";FALSE;1609;"1609";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"kb";"<";"D";TRUE;1953;"1953";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"14,3749";"<";"70";TRUE;794;"794 AND 958";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"68,1163264";">";"5";TRUE;958;"794 AND 958";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"30";FALSE;1091;"1091";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;393;"393";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"55,27455616";"<=";"30";FALSE;740;"740";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1248;"1248";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1372;"1372";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1454;"1454";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"58,899952";"<=";"50";FALSE;1499;"1499";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"12";"<=";"30";TRUE;1600;"1600";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"143382";"6510";"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"70";"<=";"50";FALSE;1936;"1936";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"15,328";"<=";"70";TRUE;793;"793 AND 953";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"74,0692";">=";"5";TRUE;953;"793 AND 953";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"1";">=";"50";FALSE;1135;"1135";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;385;"385";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1242;"1242";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1331;"1331";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"5,92";"<=";"30";TRUE;1704;"1704";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1945;"1945";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"15,328";"<";"70";TRUE;791;"791 AND 957";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"74,0692";">";"5";TRUE;957;"791 AND 957";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"1";">=";"30";FALSE;1137;"1137";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;396;"396";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"72,0465976";"<=";"30";FALSE;731;"731";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1258;"1258";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1339;"1339";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1458;"1458";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"18,6810112";"<=";"50";TRUE;1495;"1495";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"1";"<=";"30";TRUE;1601;"1601";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"1487746";"6510";"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";"bedekking rozetplanten";"10,66457107";">=";"30";FALSE;1051;"1051";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"14,1847434182034";">=";"10";TRUE;1111;"1111";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"gulden sleutelbloem en/of ruige weegbree aanwezig";"2";">=";"1";TRUE;2113;"2113 AND 420";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten excl. gulden sleutelbloem";"7";">=";"4";TRUE;420;"2113 AND 420";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"1";"<=";"30";TRUE;1245;"1245";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"10";"<=";"10";TRUE;1337;"1337";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"1,99";"<=";"30";TRUE;1659;"1659";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
