"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"118441";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";TRUE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"118441";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";FALSE;"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581
"127218";"6510";"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";FALSE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";TRUE;"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"1280278";"6510";"6510_hus";"Versie 2.0";"Structuur";"dominantie van één soort";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 2.0";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Structuur";"dominantie van één soort";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"eutrofiëring";"zb";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verbraming";"b";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";FALSE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";"6510";"6510_hus";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";TRUE;"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"143382";"6510";"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";FALSE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";"6510";"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";TRUE;"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"1487746";"6510";"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";FALSE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 2.0";"Verstoring";"vervilting";"zb";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Structuur";"dominantie van één soort";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Structuur";"levensvormen";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Vegetatie";"sleutelsoorten";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"eutrofiëring";"zb";FALSE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"verbraming";"b";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1487746";"6510";"6510_huk";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";TRUE;"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719
"1569666";"6510";"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";FALSE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
"1569666";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";FALSE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
"1569666";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
"1569666";"6510";"6510_huk";"Versie 2.0";"Verstoring";"strooisellaag";"b";TRUE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
"1569666";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
"1569666";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verruiging";"zb";FALSE;"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062
