"Scenario";"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"dwergstruiken";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"horizontale structuur";"b";NA;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"veenmossen";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Vegetatie";"aantal veenmossen";"b";FALSE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Verstoring";"vergrassing";"zb";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Structuur";"dwergstruiken";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Verstoring";"vergrassing";"zb";TRUE;"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";TRUE;"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";FALSE;"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";TRUE;"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";TRUE;"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";FALSE;"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
