"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Meting";"PlotWeight";"StratumWeight";"WeightComb";"Scenario"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 2.0";"Verstoring";"verbossing";FALSE;"zb";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Structuur";"(korst)moslaag";FALSE;"b";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Vegetatie";"bedekking sleutel- en overige soorten";FALSE;"b";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813265807";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"invasieve exoten";TRUE;"zb";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813265807";"1013294";7140;"7140_meso";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"verbossing";FALSE;"zb";"Binnen";"Cirkelplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017020813570832";"1013294";7140;"7140_meso";"Versie 3";"Verstoring";"verruiging";FALSE;"zb";"Binnen";"Vegetatieplot";1;6,17391304347826;6,17391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";FALSE;"b";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021314354987";"1022766";6230;"6230_hmo";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 2.0";"Verstoring";"vervilting";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";FALSE;"b";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021314354987";"1022766";6230;"6230_hmo";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Cirkelplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"verdroging";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"vernatting";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021315595672";"1022766";6230;"6230_hmo";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";"Vegetatieplot";0,3;5,635;1,6905;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";NA;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021515592266";"103094";7140;"7140_meso";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Structuur";"strooisellaag";FALSE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Verstoring";"verbossing";TRUE;"zb";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Vegetatie";"bedekking sleutel- en overige soorten";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021515592266";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"invasieve exoten";TRUE;"zb";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021515592266";"103094";7140;"7140_meso";"Versie 3";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"strooisellaag";FALSE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"verbossing";TRUE;"zb";"Binnen";"Cirkelplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017021516075256";"103094";7140;"7140_meso";"Versie 3";"Verstoring";"verruiging";FALSE;"zb";"Binnen";"Vegetatieplot";0,5;6,17391304347826;3,08695652173913;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908192809";"1036446";6230;"6230_hmo";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 2.0";"Verstoring";"vervilting";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
