"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"ID";"Habitattype";"Meetnet";"SGO";"SBZH";"IDToon";"Regio"
"28";"Dommel_03";"Dommel";224626,9;212537,6;2016-08-05;"Dommel_03_5/08/2016";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";95;"Atl"
"29";"TR262200.1";"GROTE NETE - NETE";207564;205716;2013-07-22;"TR262200.1_22/07/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"30";"TR216000.2";"DIJLE";174057;179857;2016-08-18;"TR216000.2_18/08/2016";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"31";"TR262200.1";"GROTE NETE - NETE";207564;205716;2016-08-17;"TR262200.1_17/08/2016";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"32";"GouLo_04";"Gouwbergse Loop";181146,9;242742;2017-07-13;"GouLo_04_13/07/2017";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";824;"Atl"
"33";"TR84000.3";"LEYLOOP - OSSEVENNELOOP - WATERSTRAATLOOP - RETHSCHE LOOP - POPPELSCHE LEY - NIEUWE LEY - VOORSTE ST -";194600;238409;2013-08-19;"TR84000.3_19/08/2013";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"34";"GouLo_03";"Gouwbergse Loop";181018,2;242889,4;2016-08-19;"GouLo_03_19/08/2016";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";822;"Atl"
"35";"NooMa_02";NA;186945;232227;2015-06-18;"NooMa_02_18/06/2015";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";1088;"Atl"
"36";"TR291000.2";"DE AA - NATTENLOOP";192156;223181;2013-06-19;"TR291000.2_19/06/2013";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"37";"GouLo_05";"Gouwbergse Loop";181207,3;242554,1;2017-07-13;"GouLo_05_13/07/2017";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";826;"Atl"
"38";"TR306500.2";"LOEIJENS NEETJE - GEMEENTELOOP";196737;217195;2017-08-01;"TR306500.2_1/08/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"39";"TR276700.1";"KLEINE NETE";195578;214930;2013-07-17;"TR276700.1_17/07/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"40";"TR276700.1";"KLEINE NETE";195578;214930;2016-08-23;"TR276700.1_23/08/2016";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"41";"TR84000.1";"LEYLOOP - OSSEVENNELOOP - WATERSTRAATLOOP - RETHSCHE LOOP - POPPELSCHE LEY - NIEUWE LEY - VOORSTE ST -";195660;241724;2013-08-19;"TR84000.1_19/08/2013";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"42";"BosBe_02";"Bosbeek";242952,9;197998,7;2017-07-17;"BosBe_02_17/07/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";55;"Atl"
"43";"TR152500.3";"BERWIJN - BERWINNE";245544;161268;2013-08-27;"TR152500.3_27/08/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
"44";"TR152500.2";"BERWIJN - BERWINNE";244899;161556;2017-09-13;"TR152500.2_13/09/2017";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
"45";"TR152500.2";"BERWIJN - BERWINNE";244899;161556;2013-08-27;"TR152500.2_27/08/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
"46";"TR152500.1";"BERWIJN - BERWINNE";242826;161345;2017-09-13;"TR152500.1_13/09/2017";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
"47";"TR152500.1";"BERWIJN - BERWINNE";242826;161345;2013-08-27;"TR152500.1_27/08/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
