"Meetnet";"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig"
"PINK";"Vlaanderen";"Habitattype";"Versie 2.0";"2110";"2110";"Binnen & Buiten";292;290341;85,49
"PINK";"Vlaanderen";"Habitattype";"Versie 3";"2110";"2110";"Binnen & Buiten";292;290341;95,02
