"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon123";"2110";"2110";"Versie 2.0";"Atlantic";196;2;4;0;50;0
"PINK";"Polygoon123";"2110";"2110";"Versie 3";"Atlantic";196;3;5;0;60;1
"PINK";"Polygoon124";"2110";"2110";"Versie 2.0";"Atlantic";156;2;4;0;50;0
"PINK";"Polygoon124";"2110";"2110";"Versie 3";"Atlantic";156;3;5;0;60;1
"PINK";"Polygoon125";"2110";"2110";"Versie 2.0";"Atlantic";143;2;4;0;50;0
"PINK";"Polygoon125";"2110";"2110";"Versie 3";"Atlantic";143;3;5;0;60;1
"PINK";"Polygoon126";"2110";"2110";"Versie 2.0";"Atlantic";201;2;4;0;50;0
"PINK";"Polygoon126";"2110";"2110";"Versie 3";"Atlantic";201;3;5;0;60;1
"PINK";"Polygoon127";"2110";"2110";"Versie 2.0";"Atlantic";375;2;4;0;50;0
"PINK";"Polygoon127";"2110";"2110";"Versie 3";"Atlantic";375;3;5;0;60;1
"PINK";"Polygoon128";"2110";"2110";"Versie 2.0";"Atlantic";62;2;4;1;50;0
"PINK";"Polygoon128";"2110";"2110";"Versie 3";"Atlantic";62;3;5;1;60;0
"PINK";"Polygoon129";"2110";"2110";"Versie 2.0";"Atlantic";68;2;4;1;50;0
"PINK";"Polygoon129";"2110";"2110";"Versie 3";"Atlantic";68;3;5;1;60;0
"PINK";"Polygoon13";"2110";"2110";"Versie 2.0";"Atlantic";35;3;4;1;75;0
"PINK";"Polygoon13";"2110";"2110";"Versie 3";"Atlantic";35;4;5;1;80;0
"PINK";"Polygoon130";"2110";"2110";"Versie 2.0";"Atlantic";76;2;4;1;50;0
"PINK";"Polygoon130";"2110";"2110";"Versie 3";"Atlantic";76;3;5;1;60;0
"PINK";"Polygoon131";"2110";"2110";"Versie 2.0";"Atlantic";214;2;4;1;50;0
"PINK";"Polygoon131";"2110";"2110";"Versie 3";"Atlantic";214;3;5;1;60;0
"PINK";"Polygoon132";"2110";"2110";"Versie 2.0";"Atlantic";26;1;4;1;25;0
"PINK";"Polygoon132";"2110";"2110";"Versie 3";"Atlantic";26;2;5;1;40;0
"PINK";"Polygoon133";"2110";"2110";"Versie 2.0";"Atlantic";205;2;4;0;50;0
"PINK";"Polygoon133";"2110";"2110";"Versie 3";"Atlantic";205;3;5;0;60;1
"PINK";"Polygoon134";"2110";"2110";"Versie 2.0";"Atlantic";908;2;4;0;50;0
"PINK";"Polygoon134";"2110";"2110";"Versie 3";"Atlantic";908;3;5;0;60;1
"PINK";"Polygoon135";"2110";"2110";"Versie 2.0";"Atlantic";873;4;4;0;100;1
"PINK";"Polygoon135";"2110";"2110";"Versie 3";"Atlantic";873;5;5;0;100;1
"PINK";"Polygoon136";"2110";"2110";"Versie 2.0";"Atlantic";226;3;4;0;75;1
"PINK";"Polygoon136";"2110";"2110";"Versie 3";"Atlantic";226;4;5;0;80;1
"PINK";"Polygoon137";"2110";"2110";"Versie 2.0";"Atlantic";67;2;4;1;50;0
"PINK";"Polygoon137";"2110";"2110";"Versie 3";"Atlantic";67;3;5;1;60;0
"PINK";"Polygoon138";"2110";"2110";"Versie 2.0";"Atlantic";57;2;4;1;50;0
"PINK";"Polygoon138";"2110";"2110";"Versie 3";"Atlantic";57;3;5;1;60;0
"PINK";"Polygoon139";"2110";"2110";"Versie 2.0";"Atlantic";155;3;4;0;75;1
"PINK";"Polygoon139";"2110";"2110";"Versie 3";"Atlantic";155;4;5;0;80;1
"PINK";"Polygoon14";"2110";"2110";"Versie 2.0";"Atlantic";360;4;4;0;100;1
