"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Cirkelplot";"IV2017011215545335";695297;1330;"1330_hpr";"Versie 2.0";"Binnen";30;6,62466184943237;1,98739855482971;5;6;1;83,3333333333333;0
"Cirkelplot";"IV2017011215545335";695297;1330;"1330_hpr";"Versie 3";"Binnen";30;6,62466184943237;1,98739855482971;5;6;1;83,3333333333333;0
"Cirkelplot";"IV2017011312251730";781906;6230;"6230_hn";"Versie 2.0";"Binnen";70;5,42646267659061;3,79852387361343;8;8;0;100;1
"Cirkelplot";"IV2017011312251730";781906;6230;"6230_hn";"Versie 3";"Binnen";70;5,42646267659061;3,79852387361343;9;9;0;100;1
"Cirkelplot";"IV2017011813083530";721906;6230;"6230_ha";"Versie 2.0";"Binnen";40;9,00623917481993;3,60249566992797;6;6;0;100;1
"Cirkelplot";"IV2017011813083530";721906;6230;"6230_ha";"Versie 3";"Binnen";40;9,00623917481993;3,60249566992797;9;9;0;100;1
"Cirkelplot";"IV2017011814163232";540658;6230;"6230_hn";"Versie 2.0";"Binnen";80;5,42646267659061;4,34117014127249;6;8;0;75;1
"Cirkelplot";"IV2017011814163232";540658;6230;"6230_hn";"Versie 3";"Binnen";80;5,42646267659061;4,34117014127249;8;9;0;88,8888888888889;1
"Cirkelplot";"IV2017011816484258";1436882;6230;"6230_hmo";"Versie 2.0";"Binnen";20;2,27842490061699;0,455684980123397;9;9;0;100;1
"Cirkelplot";"IV2017011816484258";1436882;6230;"6230_hmo";"Versie 3";"Binnen";20;2,27842490061699;0,455684980123397;11;11;0;100;1
"Cirkelplot";"IV2017011915010675";2133734;6230;"6230_hmo";"Versie 2.0";"Buiten";90;2,92792882668883;2,63513594401995;7;9;0;77,7777777777778;1
"Cirkelplot";"IV2017011915010675";2133734;6230;"6230_hmo";"Versie 3";"Buiten";90;2,92792882668883;2,63513594401995;8;11;1;72,7272727272727;0
"Cirkelplot";"IV2017011916524752";583378;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;3;6;1;50;0
"Cirkelplot";"IV2017011916524752";583378;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;9;9;0;100;1
"Cirkelplot";"IV2017012010235498";201006;6230;"6230_hn";"Versie 2.0";"Binnen";47;5,42646267659061;2,55043745799759;6;8;1;75;0
"Cirkelplot";"IV2017012010235498";201006;6230;"6230_hn";"Versie 3";"Binnen";47;5,42646267659061;2,55043745799759;9;9;0;100;1
"Cirkelplot";"IV2017012012273378";379094;6230;"6230_ha";"Versie 2.0";"Binnen";100;9,00623917481993;9,00623917481993;4;6;0;66,6666666666667;1
"Cirkelplot";"IV2017012012273378";379094;6230;"6230_ha";"Versie 3";"Binnen";100;9,00623917481993;9,00623917481993;8;9;0;88,8888888888889;1
"Cirkelplot";"IV2017012013020416";116950;6230;"6230_ha";"Versie 2.0";"Binnen";100;9,00623917481993;9,00623917481993;3;6;1;50;0
"Cirkelplot";"IV2017012013020416";116950;6230;"6230_ha";"Versie 3";"Binnen";100;9,00623917481993;9,00623917481993;7;9;1;77,7777777777778;0
"Cirkelplot";"IV2017012013475483";641238;6230;"6230_ha";"Versie 2.0";"Binnen";100;9,00623917481993;9,00623917481993;4;6;0;66,6666666666667;1
"Cirkelplot";"IV2017012013475483";641238;6230;"6230_ha";"Versie 3";"Binnen";100;9,00623917481993;9,00623917481993;9;9;0;100;1
"Cirkelplot";"IV2017012015481765";315329;6230;"6230_ha";"Versie 2.0";"Buiten";100;12,5627202244204;12,5627202244204;3;6;2;50;0
"Cirkelplot";"IV2017012015481765";315329;6230;"6230_ha";"Versie 3";"Buiten";100;12,5627202244204;12,5627202244204;6;9;3;66,6666666666667;0
"Cirkelplot";"IV2017012016374726";300649;6230;"6230_hmo";"Versie 2.0";"Binnen";100;2,27842490061699;2,27842490061699;6;9;2;66,6666666666667;0
"Cirkelplot";"IV2017012016374726";300649;6230;"6230_hmo";"Versie 3";"Binnen";100;2,27842490061699;2,27842490061699;7;11;3;63,6363636363636;0
"Cirkelplot";"IV2017012017101191";576302;6230;"6230_hn";"Versie 2.0";"Binnen";70;5,42646267659061;3,79852387361343;6;8;1;75;0
"Cirkelplot";"IV2017012017101191";576302;6230;"6230_hn";"Versie 3";"Binnen";70;5,42646267659061;3,79852387361343;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017012312301685";745170;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;4;6;1;66,6666666666667;0
"Cirkelplot";"IV2017012312301685";745170;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;9;9;0;100;1
"Cirkelplot";"IV2017012521020429";141010;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;3;6;1;50;0
"Cirkelplot";"IV2017012521020429";141010;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;6;9;1;66,6666666666667;0
"Cirkelplot";"IV2017012522043706";59090;6230;"6230_ha";"Versie 2.0";"Binnen";10;9,00623917481993;0,900623917481993;2;6;1;33,3333333333333;0
"Cirkelplot";"IV2017012522043706";59090;6230;"6230_ha";"Versie 3";"Binnen";10;9,00623917481993;0,900623917481993;6;9;1;66,6666666666667;0
"Cirkelplot";"IV2017012611170830";220882;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;3;6;1;50;0
"Cirkelplot";"IV2017012611170830";220882;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;7;9;1;77,7777777777778;0
"Cirkelplot";"IV2017012612213288";696182;7140;"7140_meso";"Versie 2.0";"Binnen";70;5,18362950735022;3,62854065514515;4;8;2;50;0
"Cirkelplot";"IV2017012612213288";696182;7140;"7140_meso";"Versie 3";"Binnen";70;5,18362950735022;3,62854065514515;7;12;2;58,3333333333333;0
"Cirkelplot";"IV2017012613001528";89810;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;3;6;1;50;0
"Cirkelplot";"IV2017012613001528";89810;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017012613411763";648914;6230;"6230_ha";"Versie 2.0";"Binnen";50;9,00623917481993;4,50311958740997;4;6;1;66,6666666666667;0
"Cirkelplot";"IV2017012613411763";648914;6230;"6230_ha";"Versie 3";"Binnen";50;9,00623917481993;4,50311958740997;7;9;1;77,7777777777778;0
"Cirkelplot";"IV2017012615432844";1150886;6230;"6230_hmo";"Versie 2.0";"Binnen";96;2,27842490061699;2,18728790459231;8;9;0;88,8888888888889;1
"Cirkelplot";"IV2017012615432844";1150886;6230;"6230_hmo";"Versie 3";"Binnen";96;2,27842490061699;2,18728790459231;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017012620463014";1216422;6230;"6230_hmo";"Versie 2.0";"Binnen";90;2,27842490061699;2,05058241055529;9;9;0;100;1
"Cirkelplot";"IV2017012620463014";1216422;6230;"6230_hmo";"Versie 3";"Binnen";90;2,27842490061699;2,05058241055529;11;11;0;100;1
"Cirkelplot";"IV2017012709211647";1566033;6230;"6230_hmo";"Versie 2.0";"Binnen";100;2,27842490061699;2,27842490061699;7;9;1;77,7777777777778;0
"Cirkelplot";"IV2017012709211647";1566033;6230;"6230_hmo";"Versie 3";"Binnen";100;2,27842490061699;2,27842490061699;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017012709434540";207406;6230;"6230_hmo";"Versie 2.0";"Binnen";35;2,27842490061699;0,797448715215945;5;9;2;55,5555555555556;0
"Cirkelplot";"IV2017012709434540";207406;6230;"6230_hmo";"Versie 3";"Binnen";35;2,27842490061699;0,797448715215945;6;11;3;54,5454545454545;0
"Cirkelplot";"IV2017012711062779";23086;7140;"7140_oli";"Versie 2.0";"Binnen";58;8,38547727868332;4,86357682163632;9;9;0;100;1
"Cirkelplot";"IV2017012711062779";23086;7140;"7140_oli";"Versie 3";"Binnen";58;8,38547727868332;4,86357682163632;10;10;0;100;1
"Cirkelplot";"IV2017012711292443";743982;6230;"6230_hmo";"Versie 2.0";"Binnen";100;2,27842490061699;2,27842490061699;9;9;0;100;1
