"ID";"IDPlots";"Habitattype";"Versie";"Indicator";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"Scenario"
"IV2017010609200485";908981;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"21,875";"<=";"54,9429115366936";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"6,875";"<";"70";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"55,6187678636432";">=";"30";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"2";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"21,875";"<=";"55,6187678636432";TRUE;"Cirkelplot"
"IV2017010609200485";908981;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"Afwezig";"<=";"T";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"27,5";"<=";"50";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"d";">=";"f";TRUE;"Cirkelplot"
