"Scenario";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Combinatie crikelplot en vegetatieplot";"58433";6230;"6230_hn";"Versie 2.0";"Binnen";0,3;5,42646267659061;1,62793880297718;7;8;0;87,5;1
"Combinatie crikelplot en vegetatieplot";"58433";6230;"6230_hn";"Versie 3";"Binnen";0,3;5,42646267659061;1,62793880297718;8;9;0;88,8888888888889;1
"Combinatie crikelplot en vegetatieplot";"589698";6230;"6230_hnk";"Versie 2.0";"Binnen";0,5;3,4240125715217;1,71200628576085;5;9;0;55,5555555555556;1
"Combinatie crikelplot en vegetatieplot";"589698";6230;"6230_hnk";"Versie 3";"Binnen";0,5;3,4240125715217;1,71200628576085;8;9;0;88,8888888888889;1
"Combinatie crikelplot en vegetatieplot";"59090";6230;"6230_ha";"Versie 2.0";"Binnen";0,1;9,00623917481993;0,900623917481993;2;6;1;33,3333333333333;0
"Combinatie crikelplot en vegetatieplot";"59090";6230;"6230_ha";"Versie 3";"Binnen";0,1;9,00623917481993;0,900623917481993;6;9;1;66,6666666666667;0
"Combinatie crikelplot en vegetatieplot";"6102322";6410;"6410_ve";"Versie 2.0";"Binnen";0,9;3,07492932108213;2,76743638897391;8;11;1;72,7272727272727;0
"Combinatie crikelplot en vegetatieplot";"6102322";6410;"6410_ve";"Versie 3";"Binnen";0,9;3,07492932108213;2,76743638897391;9;13;2;69,2307692307692;0
"Combinatie crikelplot en vegetatieplot";"6152326";6410;"6410_mo";"Versie 2.0";"Binnen";0,75;0,365917673627072;0,274438255220304;9;11;1;81,8181818181818;0
"Combinatie crikelplot en vegetatieplot";"6152326";6410;"6410_mo";"Versie 3";"Binnen";0,75;0,365917673627072;0,274438255220304;12;13;1;92,3076923076923;0
"Combinatie crikelplot en vegetatieplot";"6194105";6410;"6410_mo";"Versie 2.0";"Buiten";0,64;0,729345731337661;0,466781268056103;9;11;0;81,8181818181818;1
"Combinatie crikelplot en vegetatieplot";"6194105";6410;"6410_mo";"Versie 3";"Buiten";0,64;0,729345731337661;0,466781268056103;11;13;0;84,6153846153846;1
"Combinatie crikelplot en vegetatieplot";"619506";6230;"6230_ha";"Versie 2.0";"Buiten";0,5;12,5627202244204;6,28136011221018;3;6;1;50;0
"Combinatie crikelplot en vegetatieplot";"619506";6230;"6230_ha";"Versie 3";"Buiten";0,5;12,5627202244204;6,28136011221018;6;9;2;66,6666666666667;0
"Combinatie crikelplot en vegetatieplot";"627922";6230;"6230_hn";"Versie 2.0";"Binnen";0,5;5,42646267659061;2,71323133829531;8;8;0;100;1
"Combinatie crikelplot en vegetatieplot";"627922";6230;"6230_hn";"Versie 3";"Binnen";0,5;5,42646267659061;2,71323133829531;9;9;0;100;1
"Combinatie crikelplot en vegetatieplot";"641238";6230;"6230_ha";"Versie 2.0";"Binnen";1;9,00623917481993;9,00623917481993;4;6;0;66,6666666666667;1
"Combinatie crikelplot en vegetatieplot";"641238";6230;"6230_ha";"Versie 3";"Binnen";1;9,00623917481993;9,00623917481993;9;9;0;100;1
"Combinatie crikelplot en vegetatieplot";"648914";6230;"6230_ha";"Versie 2.0";"Binnen";0,5;9,00623917481993;4,50311958740997;4;6;1;66,6666666666667;0
"Combinatie crikelplot en vegetatieplot";"648914";6230;"6230_ha";"Versie 3";"Binnen";0,5;9,00623917481993;4,50311958740997;7;9;1;77,7777777777778;0
"Combinatie crikelplot en vegetatieplot";"654598";6230;"6230_ha";"Versie 2.0";"Buiten";0,5;12,5627202244204;6,28136011221018;3;6;1;50;0
"Combinatie crikelplot en vegetatieplot";"654598";6230;"6230_ha";"Versie 3";"Buiten";0,5;12,5627202244204;6,28136011221018;5;9;2;55,5555555555556;0
"Combinatie crikelplot en vegetatieplot";"6645958";6410;"6410_mo";"Versie 2.0";"Binnen";0,6;0,365917673627072;0,219550604176243;8;11;0;72,7272727272727;1
