"";"ID";"Criterium";"Indicator";"Voorwaarde";"Type";"Invoertype";"Eenheid";"Waarde"
"405";"AN_MOL_003_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"406";"AN_MOL_003_3140_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"407";"AN_MOL_003_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"408";"AN_MOS_002_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"409";"AN_OLB_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"410";"AN_RAV_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,21
"411";"AN_RAV_003_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,55
"412";"AN_RPT_002_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"413";"AN_RPT_002_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"414";"AN_RPT_003_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"415";"AN_RPT_003_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"416";"AN_RPT_005_3140_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"417";"AN_RPT_005_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"418";"AN_RVS_002_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,76
"419";"AN_SEL_002_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"420";"AN_SNE_003_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"421";"AN_SNE_003_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"422";"AN_SNE_004_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,17
"423";"AN_SNE_004_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,17
"424";"AN_SNE_006_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"425";"AN_SNE_008_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,3
"426";"AN_SPB_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,24
"427";"AN_STB_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"428";"AN_TIE_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,19
"429";"AN_TIE_002_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,19
"430";"AN_TIK_002_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"431";"AN_TUR_001_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"432";"AN_TVG_002_3110_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"433";"AN_TVG_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"434";"AN_TVG_002_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"435";"AN_TVG_003_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,6
"436";"AN_TVG_003_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,6
"437";"AN_TVG_004_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"438";"AN_TVG_005_3110_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"439";"AN_TVG_005_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"440";"AN_TVG_005_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"441";"AN_VOL_001_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,3
"442";"AN_VOL_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"443";"AN_VOL_002_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"444";"AN_VVM_001_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"445";"AN_VVM_002_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"446";"AN_VVM_003_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"447";"AN_VVM_004_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"448";"AN_VVM_004_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"449";"AN_ZAM_002_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"450";"AN_ZAM_003_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"451";"AN_ZEG_002_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"452";"AN_ZEG_002_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"453";"AN_ZEG_003_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"454";"AN_ZEG_004_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"455";"LI_ABH_011_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,36
"456";"LI_BAT_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"457";"LI_BAT_001_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"458";"LI_BBV_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"459";"LI_BEG_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"460";"LI_BEG_003_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"461";"LI_BER_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;1,5
"462";"LI_BER_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;1,5
"463";"LI_BER_003_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"464";"LI_BER_003_3140_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"465";"LI_BER_004_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"466";"LI_BOK_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"467";"LI_BOK_002_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,39
"468";"LI_BOK_003_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,26
"469";"LI_BOK_004_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;1
"470";"LI_BOK_004_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;1
"471";"LI_BOK_006_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"472";"LI_BOK_006_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"473";"LI_BOK_007_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"474";"LI_BOK_007_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"475";"LI_BOK_008_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"476";"LI_BOK_008_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"477";"LI_DKV_002_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"478";"LI_DON_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,45
"479";"LI_DON_002_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,45
"480";"LI_DON_003_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"481";"LI_EGO_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"482";"LI_HAG_001_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"483";"LI_HAG_002_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"484";"LI_HAG_003_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"485";"LI_HAG_004_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,31
"486";"LI_HAG_004_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,31
"487";"LI_HOE_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"488";"LI_JUF_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"489";"LI_LAN_008_3150_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,05
"490";"LI_LOM_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"491";"LI_MAT_002_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"492";"LI_MAT_002_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"493";"LI_MAT_002_3140_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"494";"LI_MAT_003_3150_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"495";"LI_MAT_004_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"496";"LI_MAT_007_3140_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"497";"LI_MAT_007_3150_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"498";"LI_MAT_009_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"499";"LI_MAT_011_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"500";"LI_MAT_012_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"501";"LI_MEC_001_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"502";"LI_MEC_002_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"503";"LI_MLV_002_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"504";"LI_MLV_010_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"505";"LI_MLV_010_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"506";"LI_MLV_010_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"507";"LI_MLV_011_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,03
"508";"LI_MLV_014_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,3
"509";"LI_MLV_016_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"510";"LI_MLV_016_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"511";"LI_MLV_016_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"512";"LI_MLV_026_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"513";"LI_MLV_026_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"514";"LI_MOB_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"515";"LI_MOB_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"516";"LI_MUN_002_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"517";"LI_OPH_005_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,1
"518";"LI_OPH_006_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"519";"LI_PIJ_001_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"520";"LI_PIJ_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"521";"LI_PIJ_002_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"522";"LI_SBB_004_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"523";"LI_SBB_005_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"524";"LI_SBB_005_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"525";"LI_SCH_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0
"526";"LI_SLU_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"527";"LI_SLU_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"528";"LI_TEU_004_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"529";"LI_TEU_004_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"530";"LI_TEU_005_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"531";"LI_TEU_005_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"532";"LI_TEU_005_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"533";"LI_TOM_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"534";"LI_TOM_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"535";"LI_TOM_002_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"536";"LI_VZB_001_3160_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"537";"LI_VZB_002_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"538";"LI_VZB_003_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,33
"539";"LI_VZB_003_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,33
"540";"LI_VZB_005_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"541";"LI_VZB_005_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"542";"LI_VZB_007_3160_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"543";"LI_VZB_008_3160_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"544";"LI_WIK_002_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"545";"LI_WIK_005_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"546";"LI_WIK_007_3130a_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"547";"LI_WIK_007_3130n_16";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"548";"LI_WIK_008_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"549";"LI_ZUT_001_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"550";"LI_ZUT_001_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"551";"OV_DAM_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"552";"OV_DON_003_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"553";"OV_FON_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"554";"OV_FON_002_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"555";"OV_KRA_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,05
"556";"OV_KRA_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,05
"557";"OV_LIN_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"558";"OV_STB_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"559";"OV_STB_002_3140_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"560";"VB_ASD_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,35
"561";"VB_KBL_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"562";"VB_KBL_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"563";"VB_KOR_001_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"564";"VB_VDB_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,37
"565";"VB_VIE_004_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"566";"VB_VIE_004_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,5
"567";"VB_VIN_002_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"568";"VB_VOR_002_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0,4
"569";"VB_VOR_005_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"570";"VB_VOR_005_3150_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"571";"WV_BBV_001_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"572";"WV_BBV_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"573";"WV_BBV_002_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"574";"WV_BBV_003_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"575";"WV_BUL_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"576";"WV_DAM_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"577";"WV_GUP_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"578";"WV_GUP_002_3130a_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"579";"WV_GUP_002_3130n_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"580";"WV_KPV_001_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"581";"WV_LEI_003_3150_17";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;4
"582";"AN_ABH_007_3130a_18";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"583";"AN_ARE_001_3130a_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0
"584";"AN_ARE_001_3130n_18";"Structuur";"doorzicht";"voor ondiepe plassen: Secchi-diepte in m";"Decimaal getal";NA;NA;0
"585";"AN_BAS_001_3150_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"586";"AN_BEE_001_3130a_16";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"587";"AN_BEE_001_3130n_16";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"588";"AN_BEE_002_3130a_16";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"589";"AN_BGO_001_3130a_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"590";"AN_BGO_001_3130n_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"591";"AN_BGO_001_3150_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"592";"AN_BGO_002_3130a_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"593";"AN_BGO_002_3130n_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"594";"AN_BGO_002_3140_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"595";"AN_BGO_002_3160_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"596";"AN_BLA_001_3130a_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"597";"AN_BLA_001_3130n_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
"598";"AN_BOG_001_3130a_17";"Structuur";"doorzicht";"voor diepe plassen : Secchi-diepte in m";"Decimaal getal";NA;NA;0
