"ID";"Habitattype";"Versie";"SGO";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"GouLo_12_19/08/2016";3260;"Versie 3";"<10";"binnen_sa";"Atl";2;5;2;40;0
"GroNe_10_2/06/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"GroNe_10_2/06/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"IttBe_01_27/07/2016";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";5;5;0;100;1
"IttBe_01_27/07/2016";3260;"Versie 3";"10-50";"binnen_sa";"Atl";4;5;1;80;0
"KaaBe_01_11/08/2016";3260;"Versie 2.0";"<10";"buiten";"Atl";4;5;0;80;1
"KaaBe_01_11/08/2016";3260;"Versie 3";"<10";"buiten";"Atl";3;5;1;60;0
"KleNe_03_18/07/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"KleNe_03_18/07/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"KleNe_06_26/06/2015";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"KleNe_06_26/06/2015";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"LimnBerwijn_13/07/2015";3260;"Versie 2.0";">50";"binnen_sa";"Con";5;5;0;100;1
"LimnBerwijn_13/07/2015";3260;"Versie 3";">50";"binnen_sa";"Con";3;5;1;60;0
"LimnDommel_9/07/2015";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"LimnDommel_9/07/2015";3260;"Versie 3";">50";"binnen_sa";"Atl";4;5;1;80;0
"LimnGroteNete_13/08/2015";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"LimnGroteNete_13/08/2015";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"LimnKleineNete_13/08/2015";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"LimnKleineNete_13/08/2015";3260;"Versie 3";"10-50";"buiten";"Atl";1;5;3;20;0
"LoeNe_01_6/07/2015";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"LoeNe_01_6/07/2015";3260;"Versie 3";"10-50";"buiten";"Atl";2;5;2;40;0
"Maas_08_5/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Maas_08_5/09/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Maas_09_5/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;1;80;0
"Maas_09_5/09/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Maas_10_5/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Maas_10_5/09/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Maas_11_5/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"Maas_11_5/09/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"Maas_18_21/08/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Maas_18_21/08/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Maas_19_21/08/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;1;60;0
"Maas_19_21/08/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"MunLo_01_19/08/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"MunLo_01_19/08/2016";3260;"Versie 3";"10-50";"buiten";"Atl";1;5;3;20;0
"NooMa_02_18/06/2015";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";5;5;0;100;1
"NooMa_02_18/06/2015";3260;"Versie 3";"<10";"binnen_sa";"Atl";4;5;1;80;0
"NooMa_02_4_18/06/2015";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";4;5;0;80;1
"NooMa_02_4_18/06/2015";3260;"Versie 3";"<10";"binnen_sa";"Atl";3;5;1;60;0
"NooMa_02_5_18/06/2015";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";3;5;0;60;1
"NooMa_02_5_18/06/2015";3260;"Versie 3";"<10";"binnen_sa";"Atl";3;5;1;60;0
"NooMa_02_7_18/06/2015";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";4;5;0;80;1
"NooMa_02_7_18/06/2015";3260;"Versie 3";"<10";"binnen_sa";"Atl";3;5;1;60;0
"SchNe_01_4/08/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"SchNe_01_4/08/2016";3260;"Versie 3";"10-50";"buiten";"Atl";3;5;1;60;0
"SchNe_02_26/08/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"SchNe_02_26/08/2016";3260;"Versie 3";"10-50";"buiten";"Atl";3;5;1;60;0
"SchNe_03_2/06/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"SchNe_03_2/06/2017";3260;"Versie 3";"10-50";"buiten";"Atl";3;5;2;60;0
"SchNe_04_17/05/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"SchNe_04_17/05/2017";3260;"Versie 3";"10-50";"buiten";"Atl";2;5;2;40;0
"SchNe_04_17/08/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"SchNe_04_17/08/2017";3260;"Versie 3";"10-50";"buiten";"Atl";2;5;2;40;0
"SchNe_05_17/08/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"SchNe_05_17/08/2017";3260;"Versie 3";"10-50";"buiten";"Atl";2;5;2;40;0
"SchNe_05_19/05/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"SchNe_05_19/05/2017";3260;"Versie 3";"10-50";"buiten";"Atl";4;5;1;80;0
"Stiemer_01_25/06/2015";3260;"Versie 2.0";"<10";"buiten";"Atl";4;5;0;80;1
"Stiemer_01_25/06/2015";3260;"Versie 3";"<10";"buiten";"Atl";2;5;2;40;0
"TR100400.1_14/06/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"TR100400.1_14/06/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";1;4;2;25;0
"TR100400.2_14/06/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR100400.2_14/06/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";3;4;0;75;1
"TR100400.4_18/06/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR100400.4_18/06/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";3;4;0;75;1
"TR100400.6_18/06/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR100400.6_18/06/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR102500.1_11/06/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR102500.1_11/06/2013";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;0;75;1
"TR102500.1_6/07/2016";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR102500.1_6/07/2016";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;0;75;1
"TR102500.2_11/06/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";5;5;0;100;1
"TR102500.2_11/06/2013";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;1;75;0
"TR102500.2_6/07/2016";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR102500.2_6/07/2016";3260;"Versie 3";"10-50";"binnen_sa";"Atl";2;4;1;50;0
"TR102500.4_11/06/2013";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR102500.4_11/06/2013";3260;"Versie 3";"10-50";"buiten";"Atl";2;4;1;50;0
"TR102500.4_6/07/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR102500.4_6/07/2016";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;1;75;0
"TR115000.2_23/07/2014";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR115000.2_23/07/2014";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;0;75;1
"TR115000.4_23/07/2014";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";5;5;0;100;1
"TR115000.4_23/07/2014";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;0;75;1
"TR125000.A_21/08/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";2;5;1;40;0
"TR125000.A_21/08/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR147000.1_26/09/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Con";5;5;0;100;1
"TR147000.1_26/09/2013";3260;"Versie 3";"10-50";"binnen_sa";"Con";4;4;0;100;1
"TR147000.2_26/09/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Con";5;5;0;100;1
"TR147000.2_26/09/2013";3260;"Versie 3";"10-50";"binnen_sa";"Con";4;4;0;100;1
"TR147000.3_26/09/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Con";4;5;0;80;1
"TR147000.3_26/09/2013";3260;"Versie 3";"10-50";"binnen_sa";"Con";3;4;0;75;1
"TR152500.1_13/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Con";3;5;0;60;1
"TR152500.1_13/09/2017";3260;"Versie 3";">50";"binnen_sa";"Con";3;4;0;75;1
