"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";63;63;73,02;60,75;82,55
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";54;58,6757455908491;51,85;38,65;64,8
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";117;121,675745590849;62,81;53,65;71,13
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";63;63;73,02;60,75;82,55
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";54;58,6757455908491;51,85;38,65;64,8
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";117;121,675745590849;10,08;5,79;16,96
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";63;63;14,29;7,58;25,29
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";54;58,6757455908491;5,56;1,79;15,93
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";117;121,675745590849;41,12;32,57;50,26
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";63;63;58,73;46,23;70,19
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";54;58,6757455908491;22,22;13,04;35,24
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Verstoring";"invasieve exoten";"b";"Binnen & Buiten";117;121,675745590849;72,06;63,16;79,51
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"invasieve exoten";"b";"Binnen";63;63;85,71;74,71;92,42
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"invasieve exoten";"b";"Buiten";54;58,6757455908491;57,41;43,95;69,85
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";117;121,675745590849;93;86,59;96,47
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"ruderalisering";"zb";"Binnen";63;63;96,83;88,11;99,21
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"ruderalisering";"zb";"Buiten";54;58,6757455908491;88,89;77,33;94,94
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Verstoring";"vergrassing";"zb";"Binnen & Buiten";117;121,675745590849;98,29;93,36;99,57
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"vergrassing";"zb";"Binnen";63;63;98,41;89,5;99,78
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"vergrassing";"zb";"Buiten";54;58,6757455908491;98,15;87,9;99,74
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Verstoring";"verruiging";"zb";"Binnen & Buiten";117;121,675745590849;97,46;92,39;99,18
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"verruiging";"zb";"Binnen";63;63;96,83;88,11;99,21
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Verstoring";"verruiging";"zb";"Buiten";54;58,6757455908491;98,15;87,9;99,74
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Verstoring";"verruiging";"zb";"Binnen & Buiten";117;121,675745590849;89,64;82,6;94,04
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"verruiging";"zb";"Binnen";63;63;92,06;82,25;96,67
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"verruiging";"zb";"Buiten";54;58,6757455908491;87,04;75,15;93,71
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";"Binnen & Buiten";117;121,675745590849;71,24;62,3;78,78
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";"Binnen";63;63;84,13;72,89;91,26
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";"Buiten";54;58,6757455908491;57,41;43,95;69,85
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";117;121,675745590849;94,86;88,98;97,68
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen";63;63;95,24;86,19;98,46
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Buiten";54;58,6757455908491;94,44;84,07;98,21
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";47;59,8660592443607;21,16;11,63;35,38
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen";25;26,0775091881555;30,68;15,81;51,05
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"aandeel dood hout";"b";"Buiten";22;33,7885500562052;13,81;4,28;36,49
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";19;27,1784542143038;25,84;11,08;49,35
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";15;17,5752400726706;20,73;6,55;49,41
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";10;11,0775091881555;9,03;1,2;44,71
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";47;59,8660592443607;21,16;11,63;35,38
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen";25;26,0775091881555;30,68;15,81;51,05
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"aandeel dood hout";"b";"Buiten";22;33,7885500562052;13,81;4,28;36,49
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";19;27,1784542143038;25,84;11,08;49,35
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";15;17,5752400726706;20,73;6,55;49,41
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";10;11,0775091881555;9,03;1,2;44,71
