"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";126;393,07381605635;3,33;1,84;5,94
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";76;143,754045743298;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 2.0";"9120";"9120";"Binnen & Buiten";263;254,275584219699;29,14;23,91;34,97
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9120";"9120";"Binnen";142;133,61;52,49;44,17;60,67
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9120";"9120";"Buiten";121;120,665584219699;3,28;1,22;8,54
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 3";"9120";"9120";"Binnen & Buiten";263;254,275584219699;24,84;19,94;30,49
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9120";"9120";"Binnen";142;133,61;44,32;36,25;52,7
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9120";"9120";"Buiten";121;120,665584219699;3,28;1,22;8,54
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 2.0";"9130";"9130";"Binnen & Buiten";38;114,487118275683;12,04;5,86;23,11
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9130";"9130";"Binnen";29;28,23;48,81;31,26;66,66
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 3";"9130";"9130";"Binnen & Buiten";38;114,487118275683;14,66;7,38;27,01
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9130";"9130";"Binnen";29;28,23;59,44;40,86;75,66
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 2.0";"9160";"9160";"Binnen & Buiten";44;43,0177081854795;22;12,1;36,63
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9160";"9160";"Binnen";26;25,2650971490337;37,46;21,16;57,21
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9160";"9160";"Buiten";18;17,7526110364458;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 3";"9160";"9160";"Binnen & Buiten";44;43,0177081854795;17,35;8,78;31,42
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9160";"9160";"Binnen";26;25,2650971490337;29,55;15,24;49,46
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9160";"9160";"Buiten";18;17,7526110364458;0;0;0
