"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";126;393,07381605635;46,81;33,24;60,86
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";76;143,754045743298;6,93;2,69;16,71
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";30;342,2;50,89;31,28;70,24
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,3
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";25;23,9007329514447;5,73;0,81;31,25
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";38;41,6171850506099;12,86;5,32;27,93
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,62
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";202;536,827861799649;96,66;89,67;98,98
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";126;393,07381605635;96,21;86,12;99,04
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";76;143,754045743298;97,92;90,39;99,58
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";51;66,2011138962023;95,93;82,89;99,14
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";25;23,9007329514447;100;100;100
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";38;41,6171850506099;95,19;82,58;98,81
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";39;43,0960588041952;97,75;85,53;99,69
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;19,8127710971964;89,91;66,91;97,51
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";202;536,827861799649;96,66;89,67;98,98
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";126;393,07381605635;96,21;86,12;99,04
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";76;143,754045743298;97,92;90,39;99,58
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";51;66,2011138962023;95,93;82,89;99,14
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";25;23,9007329514447;100;100;100
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";38;41,6171850506099;95,19;82,58;98,81
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";39;43,0960588041952;97,75;85,53;99,69
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;19,8127710971964;89,91;66,91;97,51
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";177;512,927128848204;14,03;7,79;23,98
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";111;381,573673651392;16,56;8,74;29,13
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"minimum structuurareaal";"zb";"Buiten";66;131,353455196812;6,69;2,39;17,34
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";30;342,2;11,98;4,42;28,58
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";51;66,2011138962023;27,43;17,11;40,91
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";38;41,6171850506099;24,49;13,41;40,43
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";39;43,0960588041952;3,81;0,91;14,56
