"ID";"SBZH";"Habitattype";"Weight";"Regio";"TypePlot";"Jaar";"StratumWeight";"Date"
"304338";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-22
"306130";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-10
"32466";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"331702";"Binnen";"2310";0,76238754517531;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-16
"332726";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-05
"33502";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-20
"33718";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-02
"34514";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-28
"35090";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2015;59,3729147585655;2015-09-24
"35794";"Binnen";"2310";0,787287434265829;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"361398";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-02
"37330";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-28
"38098";"Binnen";"2310";0,840973736859655;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-17
"386422";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-23
"398546";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-15
"40054";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-28
"40146";"Binnen";"4030";0,731121458361115;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-08
"42934";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-10
"431314";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-17
"43230";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-21
"433362";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"43566";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2015;114,382132088648;2015-06-25
"43858";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-08-28
"445266";"Binnen";"2330_bu";0,599105380380149;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-08-27
"44626";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-22
"45790";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-22
"458462";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-02
"459222";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-26
"46006";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-09
"463798";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-09
"476086";"Binnen";"2310";0,675019340921222;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-04
"488054";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-23
"488374";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-08
"492470";"Binnen";"4030";0,287068360317604;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-04
"498514";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-27
"50102";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-02
"502610";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2017;41,4513647749938;2017-07-10
"503414";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-05
"504542";"Binnen";"2310";0,999970507446378;"Atlantic";"vegetatieopname";2016;41,4513647749938;2016-09-19
"5330";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-16
"5422";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-28
"54482";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-22
"546002";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2017;41,4513647749938;2017-07-17
"54994";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-29
"55058";"Buiten";"2330_bu";1;"Atlantic";"vegetatieopname";2014;91,9972513460925;2014-09-11
"551218";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2017;41,4513647749938;2017-06-28
"579958";"Binnen";"2310";0,251504107602007;"Atlantic";"vegetatieopname";2016;41,4513647749938;2016-09-28
"583030";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-29
"59858";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-01
"602846";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-03
"60894";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-11-21
"62141";"Binnen";"4010";0,80394270432902;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-26
"62174";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-03
"648566";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-29
"65234";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-02
"65522";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-08-20
"656246";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-05
"659382";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-20
"66006";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-26
"66270";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-25
"714198";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-14
"714230";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-28
"71902";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-07
"72690";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-20
"734";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-18
"742610";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-17
"75474";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-01
"76242";"Binnen";"4010";0,801668360543478;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-09
"76754";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-10
"77278";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-30
"77394";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-22
"808146";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-17
"81374";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-27
"821462";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-21
"82222";"Binnen";"4030";0,919626734322581;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-21
"82654";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-25
"84946";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-01
"87250";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2017;59,3729147585655;2017-07-17
"877942";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-30
"8786";"Buiten";"4030";1;"Atlantic";"vegetatieopname";2014;375,394417555413;2014-09-12
"884342";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-05
"8893";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-03
"90846";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-19
"91122";"Binnen";"4030";0,574609273274882;"Atlantic";"vegetatieopname";2017;114,382132088648;2017-07-03
"91410";"Binnen";"4030";0,999970507446378;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-09-27
"91510";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2015;16,7230246124945;2015-09-09
"92382";"Binnen";"4030";0,907927863567406;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-07
"93138";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-09
"937682";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-28
"94942";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-08-21
"95158";"Binnen";"2310";0,717355538221587;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-09
"95710";"Binnen";"4010";0,984870436611055;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-12-05
"963294";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-19
"96978";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-01
"976246";"Binnen";"2310";0,999970507446378;"Atlantic";"vegetatieopname";2016;41,4513647749938;2016-09-28
"98002";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"9938";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-01
