"ID";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"1007490";"6510";"6510_huk";"Versie 2.0";"Buiten";"Continental";1;18,4217227034731;18,4217227034731;3;7;1;42,8571428571429;0
"1007490";"6510";"6510_huk";"Versie 3";"Buiten";"Continental";1;18,4217227034731;18,4217227034731;6;10;1;60;0
"1152657";"6510";"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;11,9455948882575;11,9455948882575;6;9;0;66,6666666666667;1
"1152657";"6510";"6510_hua";"Versie 3";"Buiten";"Atlantic";1;11,9455948882575;11,9455948882575;9;12;1;75;0
"118441";"6510";"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,124808913397496;288,82179185185;36,0475340065472;3;7;1;42,8571428571429;0
"118441";"6510";"6510_hu";"Versie 3";"Buiten";"Atlantic";0,124808913397496;288,82179185185;36,0475340065472;5;10;2;50;0
"127218";"6510";"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;15,6365103746298;15,6365103746298;5;7;0;71,4285714285714;1
"127218";"6510";"6510_hu";"Versie 3";"Binnen";"Atlantic";1;15,6365103746298;15,6365103746298;7;10;0;70;1
"1280278";"6510";"6510_hus";"Versie 2.0";"Binnen";"Atlantic";1;5,00879977187553;5,00879977187553;4;7;1;57,1428571428571;0
"1280278";"6510";"6510_hus";"Versie 3";"Binnen";"Atlantic";1;5,00879977187553;5,00879977187553;6;10;2;60;0
"143382";"6510";"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,922031742351525;288,82179185185;266,302859970251;4;7;0;57,1428571428571;1
"143382";"6510";"6510_hu";"Versie 3";"Buiten";"Atlantic";0,922031742351525;288,82179185185;266,302859970251;7;10;1;70;0
"1487746";"6510";"6510_huk";"Versie 2.0";"Binnen";"Continental";0,585855240148789;9,95245647153528;5,83069877620167;6;7;0;85,7142857142857;1
"1487746";"6510";"6510_huk";"Versie 3";"Binnen";"Continental";0,585855240148789;9,95245647153528;5,83069877620167;8;10;1;80;0
"1569666";"6510";"6510_huk";"Versie 2.0";"Binnen";"Continental";0,652432110695137;9,95245647153528;6,49330218232524;3;7;1;42,8571428571429;0
"1569666";"6510";"6510_huk";"Versie 3";"Binnen";"Continental";0,652432110695137;9,95245647153528;6,49330218232524;7;10;1;70;0
"1618818";"6510";"6510_huk";"Versie 2.0";"Binnen";"Continental";1;9,95245647153528;9,95245647153528;5;7;0;71,4285714285714;1
"1618818";"6510";"6510_huk";"Versie 3";"Binnen";"Continental";1;9,95245647153528;9,95245647153528;8;10;0;80;1
"162790";"6510";"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,685502935968961;15,6365103746298;10,7188737701179;4;7;0;57,1428571428571;1
"162790";"6510";"6510_hu";"Versie 3";"Binnen";"Atlantic";0,685502935968961;15,6365103746298;10,7188737701179;8;10;1;80;0
"18546";"6510";"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,894104962028499;15,6365103746298;13,9806815147667;5;7;0;71,4285714285714;1
"18546";"6510";"6510_hu";"Versie 3";"Binnen";"Atlantic";0,894104962028499;15,6365103746298;13,9806815147667;7;10;1;70;0
"20217";"6510";"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;15,6365103746298;15,6365103746298;3;7;0;42,8571428571429;0
"20217";"6510";"6510_hu";"Versie 3";"Binnen";"Atlantic";1;15,6365103746298;15,6365103746298;5;10;2;50;0
"206134";"6510";"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,797450754551543;15,6365103746298;12,4693469968016;3;7;0;42,8571428571429;0
"206134";"6510";"6510_hu";"Versie 3";"Binnen";"Atlantic";0,797450754551543;15,6365103746298;12,4693469968016;5;10;1;50;0
"231702";"6510";"6510_hus";"Versie 2.0";"Binnen";"Atlantic";0,888326262181175;5,00879977187553;4,44944837936411;4;7;1;57,1428571428571;0
"231702";"6510";"6510_hus";"Versie 3";"Binnen";"Atlantic";0,888326262181175;5,00879977187553;4,44944837936411;7;10;1;70;0
"2328854";"6510";"6510_hus";"Versie 2.0";"Binnen";"Atlantic";0,893693320539885;5,00879977187553;4,47633090004686;5;7;0;71,4285714285714;1
"2328854";"6510";"6510_hus";"Versie 3";"Binnen";"Atlantic";0,893693320539885;5,00879977187553;4,47633090004686;7;10;1;70;0
