"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"dwergstruiken";"Binnen & Buiten";32;1844,33367309414;59,42;41,64;75,03
"Voorwaarde_max";"Versie 3";"4010";"4010";"dwergstruiken";"Binnen & Buiten";32;1844,33367309414;59,42;41,64;75,03
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"veenmossen";"Binnen & Buiten";32;1844,33367309414;31,32;17,56;49,41
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"aantal veenmossen";"Binnen & Buiten";32;1844,33367309414;3,22;0,44;20,1
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";32;1844,33367309414;31,42;17,62;49,53
"Voorwaarde_max";"Versie 3";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";32;1844,33367309414;0;0;0
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"verbossing";"Binnen & Buiten";32;1844,33367309414;96,78;79,9;99,56
"Voorwaarde_max";"Versie 3";"4010";"4010";"verbossing";"Binnen & Buiten";32;1844,33367309414;80,68;62,88;91,15
"Voorwaarde_max";"Versie 2.0";"4010";"4010";"vergrassing";"Binnen & Buiten";32;1844,33367309414;21,76;10,58;39,53
"Voorwaarde_max";"Versie 3";"4010";"4010";"vergrassing";"Binnen & Buiten";32;1844,33367309414;21,76;10,58;39,53
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"dwergstruiken";"Binnen & Buiten";32;1844,33367309414;36,25;21,51;54,13
"Voorwaarde_min";"Versie 3";"4010";"4010";"dwergstruiken";"Binnen & Buiten";32;1844,33367309414;42,69;26,76;60,28
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"veenmossen";"Binnen & Buiten";32;1844,33367309414;31,32;17,56;49,41
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"aantal veenmossen";"Binnen & Buiten";32;1844,33367309414;3,22;0,44;20,1
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";32;1844,33367309414;31,42;17,62;49,53
"Voorwaarde_min";"Versie 3";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";32;1844,33367309414;0;0;0
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"verbossing";"Binnen & Buiten";32;1844,33367309414;96,78;79,9;99,56
"Voorwaarde_min";"Versie 3";"4010";"4010";"verbossing";"Binnen & Buiten";32;1844,33367309414;80,68;62,88;91,15
"Voorwaarde_min";"Versie 2.0";"4010";"4010";"vergrassing";"Binnen & Buiten";32;1844,33367309414;36,34;21,58;54,23
"Voorwaarde_min";"Versie 3";"4010";"4010";"vergrassing";"Binnen & Buiten";32;1844,33367309414;36,34;21,58;54,23
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Binnen & Buiten";37;731,878328850458;95,83;86,03;98,85
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Binnen";35;547,883826158273;94,44;81,59;98,48
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Buiten";2;183,994502692185;100;NA;NA
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Binnen & Buiten";37;731,878328850458;88,98;76,63;95,21
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Binnen";35;547,883826158273;85,28;69,29;93,7
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Buiten";2;183,994502692185;100;NA;NA
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Binnen & Buiten";37;731,878328850458;55,85;29,14;79,55
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Binnen";35;547,883826158273;57,81;40,63;73,28
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Binnen & Buiten";37;731,878328850458;44,23;20,5;70,92
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Binnen";35;547,883826158273;42,29;26,8;59,46
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"naakte bodem";"Binnen & Buiten";37;731,878328850458;44,23;20,5;70,92
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"naakte bodem";"Binnen";35;547,883826158273;42,29;26,8;59,46
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"naakte bodem";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Binnen & Buiten";37;731,878328850458;62,63;34,17;84,4
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Binnen";35;547,883826158273;66,87;49,4;80,66
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Binnen & Buiten";37;731,878328850458;2,28;0,31;14,78
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Binnen";35;547,883826158273;3,05;0,42;19,16
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Buiten";2;183,994502692185;0;NA;NA
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Binnen & Buiten";37;731,878328850458;69,15;38,71;88,84
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Binnen";35;547,883826158273;75,58;58,04;87,38
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Binnen & Buiten";37;731,878328850458;69,15;38,71;88,84
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Binnen";35;547,883826158273;75,58;58,04;87,38
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"verbossing";"Binnen & Buiten";37;731,878328850458;40,59;28,7;53,69
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"verbossing";"Binnen";35;547,883826158273;54,22;37,27;70,24
"Voorwaarde_max";"Versie 2.0";"2330";"2330_bu";"verbossing";"Buiten";2;183,994502692185;0;NA;NA
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"verbossing";"Binnen & Buiten";37;731,878328850458;55,44;28,82;79,27
"Voorwaarde_max";"Versie 3";"2330";"2330_bu";"verbossing";"Binnen";35;547,883826158273;57,27;40,06;72,88
