"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"strooisellaag";"Buiten";15;758,997146777392;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"strooisellaag";"Binnen & Buiten";30;982,087412716567;98,27;92,02;99,64
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"strooisellaag";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"strooisellaag";"Binnen & Buiten";6;54,8575085368337;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"strooisellaag";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"strooisellaag";"Binnen & Buiten";49;1138,44408486787;93,2;79,23;98,01
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"strooisellaag";"Binnen";34;379,446938090481;89,09;73,07;96,09
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"strooisellaag";"Buiten";15;758,997146777392;95,25;68,55;99,46
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"strooisellaag";"Binnen & Buiten";30;982,087412716567;92,12;75,27;97,82
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"strooisellaag";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"strooisellaag";"Binnen & Buiten";6;54,8575085368337;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"strooisellaag";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbossing/verstruweling";"Binnen & Buiten";49;1138,44408486787;95,76;87,68;98,63
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu; 6510_hus; 6510_huk";"verbossing/verstruweling";"Binnen";34;379,446938090481;87,29;71,37;94,98
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbossing/verstruweling";"Buiten";15;758,997146777392;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"verbossing/verstruweling";"Binnen & Buiten";30;982,087412716567;97,54;88,41;99,52
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"verbossing/verstruweling";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"verbossing/verstruweling";"Binnen & Buiten";6;54,8575085368337;56,05;18,03;88,08
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"verbossing/verstruweling";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verruiging";"Binnen & Buiten";49;1138,44408486787;94,25;80,66;98,47
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu; 6510_hus; 6510_huk";"verruiging";"Binnen";34;379,446938090481;95,8;87,09;98,72
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verruiging";"Buiten";15;758,997146777392;93,48;69,66;98,9
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"verruiging";"Binnen & Buiten";30;982,087412716567;96,33;75,79;99,55
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"verruiging";"Binnen & Buiten";7;83,6191642178022;85,71;41,41;98,07
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"verruiging";"Binnen & Buiten";6;54,8575085368337;88,16;44,95;98,55
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"verruiging";"Binnen & Buiten";6;17,8799993966701;38,82;9,07;80,15
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"vervilting";"Binnen & Buiten";6;54,8575085368337;66,42;15,72;95,45
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"vervilting";"Binnen";5;36,4357858333606;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"vervilting";"Buiten";1;18,4217227034731;0;NA;NA
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"dominantie van één soort";"Binnen & Buiten";49;1138,44408486787;80,8;43,75;95,8
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"dominantie van één soort";"Binnen";34;379,446938090481;86,29;67,97;94,92
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"dominantie van één soort";"Buiten";15;758,997146777392;78,06;27,01;97,16
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"dominantie van één soort";"Binnen & Buiten";30;982,087412716567;78,59;37,76;95,69
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"dominantie van één soort";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"dominantie van één soort";"Binnen & Buiten";6;54,8575085368337;84,91;38,01;98,1
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"dominantie van één soort";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua; 6510_hu; 6510_hus";"dominantie van één soort";"Binnen & Buiten";43;1083,58657633104;34,38;11,92;66,97
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu; 6510_hus";"dominantie van één soort";"Binnen";29;343,01115225712;47,63;29,47;66,44
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua; 6510_hu; 6510_hus";"dominantie van één soort";"Buiten";14;740,575424073919;28,24;4,53;76,55
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"dominantie van één soort";"Binnen & Buiten";30;982,087412716567;33,97;10,36;69,6
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"dominantie van één soort";"Binnen & Buiten";7;83,6191642178022;28,57;7,07;67,76
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"dominantie van één soort";"Binnen & Buiten";6;17,8799993966701;84,01;47,32;96,85
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"levensvormen";"Binnen & Buiten";6;54,8575085368337;22,47;4,07;66,43
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"levensvormen";"Binnen";5;36,4357858333606;33,82;6,6;78,71
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"levensvormen";"Buiten";1;18,4217227034731;0;NA;NA
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"eutrofiëring";"Binnen & Buiten";49;1138,44408486787;18,22;8,11;35,98
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"eutrofiëring";"Binnen";34;379,446938090481;38,91;23,29;57,2
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"eutrofiëring";"Buiten";15;758,997146777392;7,87;2,14;25,06
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"eutrofiëring";"Binnen & Buiten";30;982,087412716567;13,42;5,08;31
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"eutrofiëring";"Binnen & Buiten";7;83,6191642178022;71,43;32,29;92,91
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"eutrofiëring";"Binnen & Buiten";6;54,8575085368337;28,86;6,13;71,6
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"eutrofiëring";"Binnen & Buiten";6;17,8799993966701;0;0;0
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbossing";"Binnen & Buiten";49;1138,44408486787;95,76;87,68;98,63
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"verbossing";"Binnen";34;379,446938090481;87,29;71,37;94,98
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbossing";"Buiten";15;758,997146777392;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"verbossing";"Binnen & Buiten";30;982,087412716567;97,54;88,41;99,52
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"verbossing";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"verbossing";"Binnen & Buiten";6;54,8575085368337;56,05;18,03;88,08
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"verbossing";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbraming";"Binnen & Buiten";49;1138,44408486787;99,57;96,64;99,95
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"verbraming";"Binnen";34;379,446938090481;98,71;91,08;99,83
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verbraming";"Buiten";15;758,997146777392;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"verbraming";"Binnen & Buiten";30;982,087412716567;99,5;95,99;99,94
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"verbraming";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"verbraming";"Binnen & Buiten";6;54,8575085368337;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"verbraming";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"vergrassing inclusief vervilting";"Binnen & Buiten";49;1138,44408486787;89,28;76;95,64
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"vergrassing inclusief vervilting";"Binnen";34;379,446938090481;80,82;62,16;91,53
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"vergrassing inclusief vervilting";"Buiten";15;758,997146777392;93,51;77,95;98,33
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"vergrassing inclusief vervilting";"Binnen & Buiten";30;982,087412716567;93,1;80,1;97,84
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"vergrassing inclusief vervilting";"Binnen & Buiten";7;83,6191642178022;42,86;14,18;77,29
