"Scenario";"ID";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Voorwaarde_max";"100050";"4010";"4010";"Versie 2.0";"Binnen";"Atlantic";0,759792926627744;59,3729147585655;45,1111206668301;5;6;0;83,3333333333333;1
"Voorwaarde_max";"100050";"4010";"4010";"Versie 3";"Binnen";"Atlantic";0,759792926627744;59,3729147585655;45,1111206668301;3;4;0;75;1
"Voorwaarde_max";"1003230";"2330";"2330_bu";"Versie 2.0";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944;4;7;1;57,1428571428571;0
"Voorwaarde_max";"1003230";"2330";"2330_bu";"Versie 3";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944;3;6;1;50;0
"Voorwaarde_max";"102098";"2310";"2310";"Versie 2.0";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;7;8;0;87,5;1
"Voorwaarde_max";"102098";"2310";"2310";"Versie 3";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;5;8;1;62,5;0
"Voorwaarde_max";"1043410";"2330";"2330_bu";"Versie 2.0";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945;4;7;2;57,1428571428571;0
"Voorwaarde_max";"1043410";"2330";"2330_bu";"Versie 3";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945;3;6;2;50;0
"Voorwaarde_max";"105682";"2310";"2310";"Versie 2.0";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;4;8;1;50;0
"Voorwaarde_max";"105682";"2310";"2310";"Versie 3";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;2;8;2;25;0
"Voorwaarde_max";"106614";"4010";"4010";"Versie 2.0";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655;4;6;1;66,6666666666667;0
"Voorwaarde_max";"106614";"4010";"4010";"Versie 3";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655;2;4;1;50;0
"Voorwaarde_max";"10706";"2310";"2310";"Versie 2.0";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;6;8;1;75;0
"Voorwaarde_max";"10706";"2310";"2310";"Versie 3";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938;4;8;2;50;0
"Voorwaarde_max";"1076854";"2330";"2330_bu";"Versie 2.0";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944;4;7;2;57,1428571428571;0
