"Scenario";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Voorwaarde_max";"Versie 2.0";2310;"2310";"Binnen & Buiten";52;2043,91431583211;15,74;8,01;28,63
"Voorwaarde_min";"Versie 2.0";2310;"2310";"Binnen & Buiten";52;2043,91431583211;32,8;21,31;46,81
"Voorwaarde_max";"Versie 3";2310;"2310";"Binnen & Buiten";52;2043,91431583211;16,25;8,42;29,06
"Voorwaarde_min";"Versie 3";2310;"2310";"Binnen & Buiten";52;2043,91431583211;33,89;22,21;47,93
"Voorwaarde_max";"Versie 2.0";2330;"2330_bu";"Binnen & Buiten";37;731,878328850458;23,99;6,93;57,23
"Voorwaarde_max";"Versie 2.0";2330;"2330_bu";"Binnen";35;547,883826158273;15,26;6,43;32,07
"Voorwaarde_max";"Versie 2.0";2330;"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_min";"Versie 2.0";2330;"2330_bu";"Binnen & Buiten";37;731,878328850458;29,15;10,08;60,15
"Voorwaarde_min";"Versie 2.0";2330;"2330_bu";"Binnen";35;547,883826158273;22,15;11,08;39,38
"Voorwaarde_min";"Versie 2.0";2330;"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 3";2330;"2330_bu";"Binnen & Buiten";37;731,878328850458;21,71;5,65;56,23
"Voorwaarde_max";"Versie 3";2330;"2330_bu";"Binnen";35;547,883826158273;12,21;4,6;28,63
"Voorwaarde_max";"Versie 3";2330;"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_min";"Versie 3";2330;"2330_bu";"Binnen & Buiten";37;731,878328850458;24,58;7,29;57,48
"Voorwaarde_min";"Versie 3";2330;"2330_bu";"Binnen";35;547,883826158273;16,04;7,01;32,64
"Voorwaarde_min";"Versie 3";2330;"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Voorwaarde_max";"Versie 2.0";4010;"4010";"Binnen & Buiten";31;1785,859044613;15,82;6,61;33,32
"Voorwaarde_min";"Versie 2.0";4010;"4010";"Binnen & Buiten";31;1785,859044613;19,15;8,71;37,03
"Voorwaarde_max";"Versie 3";4010;"4010";"Binnen & Buiten";31;1785,859044613;22,47;10,94;40,63
"Voorwaarde_min";"Versie 3";4010;"4010";"Binnen & Buiten";31;1785,859044613;27,56;14,69;45,67
"Voorwaarde_max";"Versie 2.0";4030;"4030";"Binnen & Buiten";37;4529,08558603927;40,79;22,13;62,53
"Voorwaarde_max";"Versie 2.0";4030;"4030";"Binnen";35;3778,29675092844;38,95;24,05;56,25
"Voorwaarde_max";"Versie 2.0";4030;"4030";"Buiten";2;750,788835110826;50;NA;NA
"Voorwaarde_min";"Versie 2.0";4030;"4030";"Binnen & Buiten";37;4529,08558603927;53,11;32,29;72,9
"Voorwaarde_min";"Versie 2.0";4030;"4030";"Binnen";35;3778,29675092844;53,73;36,98;69,67
"Voorwaarde_min";"Versie 2.0";4030;"4030";"Buiten";2;750,788835110826;50;NA;NA
"Voorwaarde_max";"Versie 3";4030;"4030";"Binnen & Buiten";37;4529,08558603927;40,79;22,13;62,53
"Voorwaarde_max";"Versie 3";4030;"4030";"Binnen";35;3778,29675092844;38,95;24,05;56,25
"Voorwaarde_max";"Versie 3";4030;"4030";"Buiten";2;750,788835110826;50;NA;NA
"Voorwaarde_min";"Versie 3";4030;"4030";"Binnen & Buiten";37;4529,08558603927;46,1;26,45;67,04
"Voorwaarde_min";"Versie 3";4030;"4030";"Binnen";35;3778,29675092844;45,33;29,51;62,15
"Voorwaarde_min";"Versie 3";4030;"4030";"Buiten";2;750,788835110826;50;NA;NA
