"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"1152657";6510;"6510_hua";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"25,6";"<";"70";TRUE;772;"772 AND 933";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"60";">";"5";TRUE;933;"772 AND 933";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2,98";">=";"10";FALSE;1096;"1096";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"3";FALSE;374;"374 AND 609";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aanwezigheid specifieke sleutelsoorten";"1";">=";"1";TRUE;609;"374 AND 609";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"1";"<=";"30";TRUE;701;"701";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1238;"1238";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1424;"1424";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1457;"1457";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"verdroging";"zb";"bedekking verdroging";"0";"<=";"30";TRUE;1476;"1476";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"62,8";"<=";"50";FALSE;1490;"1490";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"vernatting";"zb";"bedekking vernatting";"21,6";"<=";"30";TRUE;1585;"1585";"Buiten";"Atlantic";1;15,1;15,1
"1152657";6510;"6510_hua";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"2";"<=";"30";TRUE;1624;"1624";"Buiten";"Atlantic";1;15,1;15,1
"118441";6510;"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"60";"<=";"50";FALSE;1954;"1954";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"10,72";"<=";"70";TRUE;769;"769 AND 929";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"67,438521568";">=";"5";TRUE;929;"769 AND 929";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"50";FALSE;1108;"1108";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;371;"371";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"30";"<=";"30";TRUE;1241;"1241";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Verstoring";"verbossing/verstruweling";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1357;"1357";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"62,368";"<=";"30";FALSE;1708;"1708";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1960;"1960";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"10,72";"<";"70";TRUE;770;"770 AND 932";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"64,9876576";">";"5";TRUE;932;"770 AND 932";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"30";FALSE;1110;"1110";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
