"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";76;143,754045743298;5,97;2,22;15,07
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";30;342,2;50,89;31,28;70,24
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,3
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";25;23,9007329514447;0;0;0
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";38;41,6171850506099;10,46;3,86;25,34
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,62
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";202;536,827861799649;67,91;57,88;76,51
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";126;393,07381605635;76,78;67,53;84,02
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";76;143,754045743298;43,64;15,43;76,67
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";51;66,2011138962023;18,74;9,98;32,42
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";25;23,9007329514447;51,24;31,07;71,02
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";38;41,6171850506099;9,99;3,21;27,04
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";39;43,0960588041952;8,77;2,55;26,07
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";202;536,827861799649;89,52;83,38;93,57
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";126;393,07381605635;93,35;84,97;97,21
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";76;143,754045743298;79,05;61,03;90,09
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";51;66,2011138962023;95,93;82,89;99,14
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";25;23,9007329514447;100;100;100
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";38;41,6171850506099;95,19;82,58;98,81
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";39;43,0960588041952;8,77;2,55;26,07
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;19,8127710971964;89,91;66,91;97,51
