"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017020813570832";1013294;7140;"7140_meso";"Versie 3";"Verstoring";"verruiging";"zb";"bedekking verruiging";"40,6";"<=";"30";FALSE;1626;"1626";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"3,94039900000001";">=";"10";FALSE;1162;"1162";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Structuur";"hoogopschietende soorten";"b";"bedekking hoogopschietende soorten";"0";"<";"10";TRUE;800;"800";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Structuur";"horizontale structuur";"b";"aantal levensvormen aanwezig";"3";">=";"3";TRUE;264;"264";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021314354987";1022766;6230;"6230_hmo";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"6";">=";"4";TRUE;292;"292";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"2";"<=";"30";TRUE;1268;"1268";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<=";"10";TRUE;1355;"1355";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"20";"<";"70";TRUE;1486;"1486";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"4,910698";"<=";"10";TRUE;1720;"1720";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 2.0";"Verstoring";"vervilting";"zb";"bedekking vervilting";"1";"<=";"30";TRUE;1808;"1808";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"8,65759590511499";">=";"10";FALSE;1158;"1158";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"1";"<=";"10";TRUE;726;"726";"Binnen";"Atlantic";30;5,635;1,6905
