"ID";"Habitattype";"Habitatsubtype";"Phab";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"VBI2158103";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;1;63,6363636363636;0
"VBI2158103";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2158118";"91E0";"91E0_va";100;"Versie 2.0";"Buiten";"Atlantic";1;2,02230677678797;2,02230677678797;7;10;2;70;0
"VBI2158118";"91E0";"91E0_va";100;"Versie 3";"Buiten";"Atlantic";1;2,02230677678797;2,02230677678797;7;10;3;70;0
"VBI2161033";"9190";"9190";70;"Versie 2.0";"Buiten";"Atlantic";0,22;1,32471960632478;0,291438313391452;7;11;1;63,6363636363636;0
"VBI2161033";"9190";"9190";70;"Versie 3";"Buiten";"Atlantic";0,22;1,32471960632478;0,291438313391452;6;10;1;60;0
"VBI2161082";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;2;63,6363636363636;0
"VBI2161082";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2161085";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;1;63,6363636363636;0
"VBI2161085";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2161093";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;1;54,5454545454545;0
"VBI2161093";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;2;50;0
"VBI2161095";"91E0";"91E0_vm";80;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2161095";"91E0";"91E0_vm";80;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2161102";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;9;1;66,6666666666667;0
"VBI2161102";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;9;1;66,6666666666667;0
"VBI2161111";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,84;1;0,84;6;11;1;54,5454545454545;0
"VBI2161111";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,84;1;0,84;6;10;2;60;0
"VBI2161114";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2161114";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2161129";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";0,95;1;0,95;8;10;1;80;0
"VBI2161129";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";0,95;1;0,95;8;10;1;80;0
"VBI2161130";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;10;0;70;1
"VBI2161130";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2161132";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;1;54,5454545454545;0
"VBI2161132";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;10;2;40;0
"VBI2161133";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,44;1,08658788131202;0,478098667777287;6;11;1;54,5454545454545;0
"VBI2161133";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,44;1,08658788131202;0,478098667777287;7;10;1;70;0
"VBI2162019";"9120";"9120";80;"Versie 2.0";"Binnen";"Atlantic";1;1;1;4;11;2;36,3636363636364;0
"VBI2162019";"9120";"9120";80;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2162025";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";0,78;1,08658788131202;0,847538547423373;6;11;1;54,5454545454545;0
"VBI2162025";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";0,78;1,08658788131202;0,847538547423373;7;10;1;70;0
"VBI2162027";"9190";"9190";70;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;1;54,5454545454545;0
"VBI2162027";"9190";"9190";70;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2162035";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;0;81,8181818181818;1
"VBI2162035";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;0;90;1
"VBI2162042";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;1;54,5454545454545;0
"VBI2162042";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2162043";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,5;1;0,5;10;11;0;90,9090909090909;1
"VBI2162043";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,5;1;0,5;9;10;0;90;1
"VBI2162051";"91E0";"91E0_va";100;"Versie 2.0";"Buiten";"Atlantic";0,95;2,02230677678797;1,92119143794857;3;10;3;30;0
"VBI2162051";"91E0";"91E0_va";100;"Versie 3";"Buiten";"Atlantic";0,95;2,02230677678797;1,92119143794857;4;10;4;40;0
"VBI2162090";"9120";"9120";50;"Versie 2.0";"Binnen";"Atlantic";1;1;1;14;22;2;63,6363636363636;0
"VBI2162090";"9120";"9120";50;"Versie 3";"Binnen";"Atlantic";1;1;1;14;20;2;70;0
"VBI2162090";"9160";"9160";50;"Versie 2.0";"Binnen";"Atlantic";1;1;1;12;20;2;60;0
"VBI2162090";"9160";"9160";50;"Versie 3";"Binnen";"Atlantic";1;1;1;14;20;2;70;0
"VBI2162098";"9160";"9160";60;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2162098";"9160";"9160";60;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2162100";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2162100";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2162129";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;0;81,8181818181818;1
"VBI2162129";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;0;90;1
"VBI2163058";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;1;50;0
"VBI2163058";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;1;60;0
"VBI2163147";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2163147";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2164124";"91E0";"91E0_vm";70;"Versie 2.0";"Binnen";"Atlantic";0,77;1;0,77;6;10;2;60;0
"VBI2164124";"91E0";"91E0_vm";70;"Versie 3";"Binnen";"Atlantic";0,77;1;0,77;8;10;1;80;0
"VBI2164126";"9190";"9190";80;"Versie 2.0";"Buiten";"Atlantic";0,52;1,32471960632478;0,688854195288887;5;11;2;45,4545454545455;0
"VBI2164126";"9190";"9190";80;"Versie 3";"Buiten";"Atlantic";0,52;1,32471960632478;0,688854195288887;5;10;2;50;0
"VBI2165046";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;6;11;2;54,5454545454545;0
"VBI2165046";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;6;10;3;60;0
"VBI2166092";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;11;1;36,3636363636364;0
"VBI2166092";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;10;1;40;0
"VBI2166156";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2166156";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2167001";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;11;3;45,4545454545455;0
"VBI2167001";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;3;60;0
"VBI2167132";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2167132";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2167133";"9120";"9120";60;"Versie 2.0";"Buiten";"Atlantic";0,84;1,08658788131202;0,912733820302094;6;11;3;54,5454545454545;0
"VBI2167133";"9120";"9120";60;"Versie 3";"Buiten";"Atlantic";0,84;1,08658788131202;0,912733820302094;5;10;3;50;0
"VBI2167136";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;1;45,4545454545455;0
"VBI2167136";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;1;50;0
"VBI2168107";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";0,98;1,08658788131202;1,06485612368578;6;11;2;54,5454545454545;0
"VBI2168107";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";0,98;1,08658788131202;1,06485612368578;5;10;2;50;0
"VBI2168147";"9190";"9190";70;"Versie 2.0";"Buiten";"Atlantic";0,21;1,32471960632478;0,278191117328204;5;11;2;45,4545454545455;0
"VBI2168147";"9190";"9190";70;"Versie 3";"Buiten";"Atlantic";0,21;1,32471960632478;0,278191117328204;5;10;2;50;0
"VBI2172052";"91E0";"91E0_vm";50;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;20;4;30;0
"VBI2172052";"91E0";"91E0_vm";50;"Versie 3";"Binnen";"Atlantic";1;1;1;8;20;4;40;0
"VBI2172052";"91E0";"91E0_vo";50;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;20;4;30;0
"VBI2172052";"91E0";"91E0_vo";50;"Versie 3";"Binnen";"Atlantic";1;1;1;6;20;6;30;0
"VBI2172060";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";0,58;1,32471960632478;0,768337371668373;4;11;2;36,3636363636364;0
"VBI2172060";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";0,58;1,32471960632478;0,768337371668373;5;10;2;50;0
"VBI2172099";"91E0";"91E0_vo";50;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2172099";"91E0";"91E0_vo";50;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2172100";"91E0";"91E0_vm";70;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2172100";"91E0";"91E0_vm";70;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2173155";"91E0";"91E0_vo";100;"Versie 2.0";"Binnen";"Atlantic";0,05;1;0,05;5;10;1;50;0
"VBI2173155";"91E0";"91E0_vo";100;"Versie 3";"Binnen";"Atlantic";0,05;1;0,05;6;10;1;60;0
"VBI2175007";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;6;10;1;60;0
"VBI2175007";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;6;10;1;60;0
"VBI2175008";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;4;10;3;40;0
"VBI2175008";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;4;10;3;40;0
"VBI2175051";"91E0";"91E0_vn";70;"Versie 2.0";"Binnen";"Atlantic";0,57;2,0775091881555;1,18418023724863;5;10;1;50;0
"VBI2175051";"91E0";"91E0_vn";70;"Versie 3";"Binnen";"Atlantic";0,57;2,0775091881555;1,18418023724863;5;10;1;50;0
"VBI2175130";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;7;11;1;63,6363636363636;0
"VBI2175130";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;8;10;1;80;0
"VBI2175146";"91E0";"91E0_vm";100;"Versie 2.0";"Buiten";"Atlantic";0,65;1,64381001816766;1,06847651180898;6;10;0;60;1
"VBI2175146";"91E0";"91E0_vm";100;"Versie 3";"Buiten";"Atlantic";0,65;1,64381001816766;1,06847651180898;6;10;1;60;0
"VBI2176073";"91E0";"91E0_vn";70;"Versie 2.0";"Buiten";"Atlantic";1;1;1;4;10;2;40;0
"VBI2176073";"91E0";"91E0_vn";70;"Versie 3";"Buiten";"Atlantic";1;1;1;4;10;2;40;0
"VBI2177091";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;7;11;1;63,6363636363636;0
"VBI2177091";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;7;10;1;70;0
"VBI2181003";"91E0";"91E0_vo";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2181003";"91E0";"91E0_vo";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2181035";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;6;10;2;60;0
"VBI2181035";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;5;10;3;50;0
"VBI2181060";"91E0";"91E0_vn";70;"Versie 2.0";"Buiten";"Atlantic";0,63;1;0,63;4;10;1;40;0
"VBI2181060";"91E0";"91E0_vn";70;"Versie 3";"Buiten";"Atlantic";0,63;1;0,63;4;10;1;40;0
"VBI2181085";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";0,65;1;0,65;5;10;2;50;0
"VBI2181085";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";0,65;1;0,65;5;10;2;50;0
"VBI2181155";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";0,91;1,32471960632478;1,20549484175555;4;11;2;36,3636363636364;0
"VBI2181155";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";0,91;1,32471960632478;1,20549484175555;4;10;2;40;0
"VBI2182151";"9190";"9190";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;11;3;45,4545454545455;0
"VBI2182151";"9190";"9190";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2182152";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";0,84;1;0,84;8;10;1;80;0
"VBI2182152";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";0,84;1;0,84;9;10;1;90;0
"VBI2182157";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;2;54,5454545454545;0
"VBI2182157";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2182158";"9190";"9190";70;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;1;72,7272727272727;0
"VBI2182158";"9190";"9190";70;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;1;90;0
"VBI2182160";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;1;50;0
"VBI2182160";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;1;50;0
"VBI2183153";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2183153";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2185023";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;3;11;3;27,2727272727273;0
"VBI2185023";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;2;10;3;20;0
"VBI2185143";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,71;1,08658788131202;0,771477395731532;5;11;3;45,4545454545455;0
"VBI2185143";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,71;1,08658788131202;0,771477395731532;5;10;3;50;0
"VBI2186107";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";0,93;1;0,93;5;10;2;50;0
"VBI2186107";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";0,93;1;0,93;6;10;2;60;0
"VBI2186108";"91E0";"91E0_vm";90;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2186108";"91E0";"91E0_vm";90;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;2;80;0
"VBI2186130";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;2;63,6363636363636;0
"VBI2186130";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2187001";"91E0";"91E0_vm";80;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2187001";"91E0";"91E0_vm";80;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2187009";"9190";"9190";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;2;54,5454545454545;0
"VBI2187009";"9190";"9190";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2187058";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2187058";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;10;1;80;0
"VBI2187082";"9190";"9190";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;1;54,5454545454545;0
"VBI2187082";"9190";"9190";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;1;60;0
"VBI2187124";"9190";"9190";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;2;54,5454545454545;0
"VBI2187124";"9190";"9190";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2202040";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2202040";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2203009";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;11;2;36,3636363636364;0
"VBI2203009";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;3;10;3;30;0
"VBI2203018";"9120";"9120";60;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;1;54,5454545454545;0
"VBI2203018";"9120";"9120";60;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;2;50;0
"VBI2206047";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2206047";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2206086";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2206086";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;10;1;80;0
"VBI2207011";"9160";"9160";100;"Versie 2.0";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;5;10;1;50;0
"VBI2207011";"9160";"9160";100;"Versie 3";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;7;10;1;70;0
"VBI2207049";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;0;81,8181818181818;1
"VBI2207049";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;10;10;0;100;1
"VBI2207057";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;0;63,6363636363636;1
"VBI2207057";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2211004";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;1;63,6363636363636;0
"VBI2211004";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2211115";"91E0";"91E0_va";100;"Versie 2.0";"Buiten";"Atlantic";1;2,02230677678797;2,02230677678797;4;10;2;40;0
"VBI2211115";"91E0";"91E0_va";100;"Versie 3";"Buiten";"Atlantic";1;2,02230677678797;2,02230677678797;6;10;2;60;0
"VBI2212002";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;1;45,4545454545455;0
"VBI2212002";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;1;50;0
"VBI2212006";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;1;54,5454545454545;0
"VBI2212006";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;1;60;0
"VBI2212018";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;2;45,4545454545455;0
"VBI2212018";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;10;2;40;0
"VBI2212040";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;10;1;60;0
"VBI2212040";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2213033";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2213033";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2213037";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,86;1,08658788131202;0,934465577928334;6;11;2;54,5454545454545;0
"VBI2213037";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,86;1,08658788131202;0,934465577928334;6;10;2;60;0
"VBI2213041";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;4;10;2;40;0
"VBI2213041";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;5;10;2;50;0
"VBI2213047";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2213047";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2213067";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;5;10;2;50;0
"VBI2213067";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;6;10;2;60;0
"VBI2213076";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;2;72,7272727272727;0
"VBI2213076";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2215068";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2215068";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2218123";"9130";"9130";100;"Versie 2.0";"Buiten";"Atlantic";0,98;10,5539452495974;10,3428663446055;4;10;2;40;0
"VBI2218123";"9130";"9130";100;"Versie 3";"Buiten";"Atlantic";0,98;10,5539452495974;10,3428663446055;6;10;2;60;0
"VBI2222132";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;7;10;1;70;0
"VBI2222132";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;6;10;2;60;0
"VBI2224137";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";1;1;1;6;10;1;60;0
"VBI2224137";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";1;1;1;5;10;2;50;0
"VBI2226018";"91E0";"91E0_va";100;"Versie 2.0";"Buiten";"Atlantic";0,64;2,02230677678797;1,2942763371443;6;10;1;60;0
"VBI2226018";"91E0";"91E0_va";100;"Versie 3";"Buiten";"Atlantic";0,64;2,02230677678797;1,2942763371443;7;10;1;70;0
"VBI2226019";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;1;45,4545454545455;0
"VBI2226019";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;1;50;0
"VBI2226022";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;9;11;1;81,8181818181818;0
"VBI2226022";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2226036";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2226036";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;3;70;0
"VBI2226044";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;1;54,5454545454545;0
"VBI2226044";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2226063";"9130";"9130";70;"Versie 2.0";"Buiten";"Atlantic";0,92;10,5539452495974;9,70962962962963;5;10;1;50;0
"VBI2226063";"9130";"9130";70;"Versie 3";"Buiten";"Atlantic";0,92;10,5539452495974;9,70962962962963;6;10;1;60;0
"VBI2226148";"91E0";"91E0_va";80;"Versie 2.0";"Buiten";"Atlantic";0,86;2,02230677678797;1,73918382803765;6;10;2;60;0
"VBI2226148";"91E0";"91E0_va";80;"Versie 3";"Buiten";"Atlantic";0,86;2,02230677678797;1,73918382803765;7;10;2;70;0
"VBI2227019";"9130";"9130";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2227019";"9130";"9130";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;1;90;0
"VBI2227037";"9120";"9120";70;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;2;54,5454545454545;0
"VBI2227037";"9120";"9120";70;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2227081";"91E0";"91E0_va";100;"Versie 2.0";"Buiten";"Atlantic";1;2,02230677678797;2,02230677678797;5;10;3;50;0
