"ID";"Habitattype";"Habitatsubtype";"Phab";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"MHK23257";"9130";"9130";NA;"Versie 2.0";"Buiten";"Atlantic";0,752973825022801;10,5539452495974;7,94684452367059;6;10;2;60;0
"MHK23257";"9130";"9130";NA;"Versie 3";"Buiten";"Atlantic";0,752973825022801;10,5539452495974;7,94684452367059;7;10;2;70;0
"MHK234297";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;9;2;77,7777777777778;0
"MHK234297";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;3;70;0
"MHK253593";"91E0";"91E0_vc";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,36950074147306;1,36950074147306;7;9;0;77,7777777777778;1
"MHK253593";"91E0";"91E0_vc";NA;"Versie 3";"Buiten";"Atlantic";1;1,36950074147306;1,36950074147306;6;10;2;60;0
"MHK257081";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;9;0;77,7777777777778;1
"MHK257081";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;1;90;0
"MHK26393";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;9;0;88,8888888888889;1
"MHK26393";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"MHK2742";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;3;10;3;30;0
"MHK2742";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;3;50;0
"MHK284729";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;4;9;2;44,4444444444444;0
"MHK284729";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;4;10;3;40;0
"MHK3970";"9160";"9160";NA;"Versie 2.0";"Binnen";"Continental";0,993293859339881;1;0,993293859339881;8;10;1;80;0
"MHK3970";"9160";"9160";NA;"Versie 3";"Binnen";"Continental";0,993293859339881;1;0,993293859339881;9;10;1;90;0
"MHK45526";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;4;10;1;40;0
"MHK45526";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;3;10;2;30;0
"MHK4945";"9130";"9130";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"MHK4945";"9130";"9130";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;0;70;1
"MHK53561";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,0424776683608906;1;0,0424776683608906;7;9;0;77,7777777777778;1
"MHK53561";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,0424776683608906;1;0,0424776683608906;7;10;2;70;0
"MHK6278";"9160";"9160";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"MHK6278";"9160";"9160";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;3;50;0
"MHK7145";"9160";"9160";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;6;10;2;60;0
"MHK7145";"9160";"9160";NA;"Versie 3";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;6;10;3;60;0
"MHK7785";"9190";"9190";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;1;72,7272727272727;0
"MHK7785";"9190";"9190";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"MHK8121";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;9;0;88,8888888888889;1
"MHK8121";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"MHK8217";"9130";"9130";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;1;50;0
"MHK8217";"9130";"9130";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;1;60;0
"MHK85529";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";0,675484034057534;1;0,675484034057534;5;10;2;50;0
"MHK85529";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";0,675484034057534;1;0,675484034057534;6;10;2;60;0
"MHK85890";"91E0";"91E0_vc";NA;"Versie 2.0";"Buiten";"Continental";0,72451063359528;1,36950074147306;0,992217849913852;6;9;2;66,6666666666667;0
"MHK85890";"91E0";"91E0_vc";NA;"Versie 3";"Buiten";"Continental";0,72451063359528;1,36950074147306;0,992217849913852;6;10;3;60;0
"MHK88274";"9190";"9190";NA;"Versie 2.0";"Binnen";"Atlantic";0,668681633897236;1;0,668681633897236;5;11;2;45,4545454545455;0
"MHK88274";"9190";"9190";NA;"Versie 3";"Binnen";"Atlantic";0,668681633897236;1;0,668681633897236;5;10;2;50;0
"MHK9262";"9120";"9120";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;1;72,7272727272727;0
"MHK9262";"9120";"9120";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"MHK96217";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,0500316335302337;1;0,0500316335302337;7;9;0;77,7777777777778;1
"MHK96217";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,0500316335302337;1;0,0500316335302337;8;10;1;80;0
"VBI2131044";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,68;1,08658788131202;0,738879759292171;5;11;2;45,4545454545455;0
"VBI2131044";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,68;1,08658788131202;0,738879759292171;4;10;3;40;0
"VBI2132097";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2132097";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2133153";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;4;10;1;40;0
"VBI2133153";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;1;60;0
"VBI2135081";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,38;1,08658788131202;0,412903394898566;5;11;1;45,4545454545455;0
"VBI2135081";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,38;1,08658788131202;0,412903394898566;5;10;1;50;0
"VBI2135082";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,25;1,08658788131202;0,271646970328004;6;11;1;54,5454545454545;0
"VBI2135082";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,25;1,08658788131202;0,271646970328004;4;10;2;40;0
"VBI2135083";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,83;1,08658788131202;0,901867941488974;7;11;1;63,6363636363636;0
"VBI2135083";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,83;1,08658788131202;0,901867941488974;7;10;1;70;0
"VBI2135098";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2135098";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2135099";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,87;1,08658788131202;0,945331456741454;5;11;2;45,4545454545455;0
"VBI2135099";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,87;1,08658788131202;0,945331456741454;4;10;3;40;0
"VBI2135132";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;2;45,4545454545455;0
"VBI2135132";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;10;2;40;0
"VBI2136040";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2136040";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2136102";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,82;1,08658788131202;0,891002062675853;6;11;2;54,5454545454545;0
"VBI2136102";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,82;1,08658788131202;0,891002062675853;6;10;2;60;0
"VBI2136113";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;0;72,7272727272727;1
"VBI2136113";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2136114";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,88;1;0,88;8;11;0;72,7272727272727;1
"VBI2136114";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,88;1;0,88;8;10;0;80;1
"VBI2136121";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,8;1;0,8;7;11;1;63,6363636363636;0
"VBI2136121";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,8;1;0,8;7;10;1;70;0
"VBI2137010";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2137010";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2137011";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;2;54,5454545454545;0
"VBI2137011";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2137028";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;1;81,8181818181818;0
"VBI2137028";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2137035";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;4;11;2;36,3636363636364;0
"VBI2137035";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;4;10;2;40;0
"VBI2137037";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;1;63,6363636363636;0
"VBI2137037";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2137052";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;0;81,8181818181818;1
"VBI2137052";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;0;90;1
"VBI2137053";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;9;11;0;81,8181818181818;1
"VBI2137053";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2137054";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;0;72,7272727272727;1
"VBI2137054";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;0;70;1
"VBI2137060";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;0;63,6363636363636;1
"VBI2137060";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2138019";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;11;2;45,4545454545455;0
"VBI2138019";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2138020";"9120";"9120";95;"Versie 2.0";"Binnen";"Atlantic";0,79;1;0,79;12;22;2;54,5454545454545;0
"VBI2138020";"9120";"9120";95;"Versie 3";"Binnen";"Atlantic";0,79;1;0,79;10;20;2;50;0
"VBI2138027";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;11;2;45,4545454545455;0
"VBI2138027";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2138028";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,18;1;0,18;8;11;0;72,7272727272727;1
"VBI2138028";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,18;1;0,18;8;10;0;80;1
"VBI2138036";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;0;72,7272727272727;1
"VBI2138036";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2138097";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,82;1,08658788131202;0,891002062675853;5;11;1;45,4545454545455;0
"VBI2138097";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,82;1,08658788131202;0,891002062675853;5;10;1;50;0
"VBI2138098";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;2;54,5454545454545;0
"VBI2138098";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2142137";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,78;1,08658788131202;0,847538547423373;4;11;2;36,3636363636364;0
"VBI2142137";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,78;1,08658788131202;0,847538547423373;4;10;2;40;0
"VBI2144048";"9120";"9120";70;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;1;63,6363636363636;0
"VBI2144048";"9120";"9120";70;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;1;70;0
"VBI2144055";"9120";"9120";60;"Versie 2.0";"Binnen";"Atlantic";0,87;1;0,87;9;11;0;81,8181818181818;1
"VBI2144055";"9120";"9120";60;"Versie 3";"Binnen";"Atlantic";0,87;1;0,87;9;10;0;90;1
"VBI2144056";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,86;1;0,86;4;11;1;36,3636363636364;0
"VBI2144056";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,86;1;0,86;4;10;1;40;0
"VBI2147004";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;1;72,7272727272727;0
"VBI2147004";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;1;90;0
"VBI2147049";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";0,8;1;0,8;8;10;0;80;1
"VBI2147049";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";0,8;1;0,8;9;10;0;90;1
"VBI2147059";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;11;1;72,7272727272727;0
"VBI2147059";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"VBI2147067";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;1;54,5454545454545;0
"VBI2147067";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2147068";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;8;10;0;80;1
"VBI2147068";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;0;90;1
